row_label_raw,row_label_full,Họ và tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
Họ và tên,Họ và tên,Họ và tên,Chức vụ,Năm nay,Năm trước,,,
Ông Lucas Ignatius Loh Jen YuhBà Nguyễn Thanh Hương,Họ và tên > Ông Lucas Ignatius Loh Jen YuhBà Nguyễn Thanh Hương,Ông Lucas Ignatius Loh Jen YuhBà Nguyễn Thanh Hương,Tổng Giám đốc Tập đoànGiám đốc Đầu tư Tập đoàn kiểm Giám đốc điều hànhNam Long Commercial Propery,19.437.833.939,11.897.793.821,,19437833939.0,11897793821.0
Ông Chan Hong Wai,Họ và tên > Ông Chan Hong Wai,Ông Chan Hong Wai,Giám đốc Tài chính Tập đoàn(bỗ nhiệm ngày 16 tháng 9 năm 2024),5.534.503.896,4.380.009.091,,5534503896.0,4380009091.0
Bà Nguyễn Thị PhượngÔng Ng Joo Tong,Họ và tên > Bà Nguyễn Thị PhượngÔng Ng Joo Tong,Bà Nguyễn Thị PhượngÔng Ng Joo Tong,Giám đốc Nhân sự Tập đoànGiám đốc điều hành Nam Long Land(bỗ nhiệm từ ngày 7 tháng 7 năm 2025),4.948.400.000,1.318.084.987,,4948400000.0,1318084987.0
Ông Nguyễn Quang ĐứcÔng Trần Anh Dũng,Họ và tên > Ông Nguyễn Quang ĐứcÔng Trần Anh Dũng,Ông Nguyễn Quang ĐứcÔng Trần Anh Dũng,"Kế toán Trường Tập đoànGiám đốc điều hành Nam Long CP(bỗ nhiệm ngày 8 tháng 1 năm 2025,miễn nhiệm ngày 28 tháng 4 năm 2025)",4.189.234.000,4.064.418.591,,4189234000.0,4064418591.0
Ông Nguyễn Hoàng Vĩnh Viễn,Họ và tên > Ông Nguyễn Hoàng Vĩnh Viễn,Ông Nguyễn Hoàng Vĩnh Viễn,Quyền Giám đốc điều hành Nam Long CP(bỗ nhiệm ngày 1 tháng 9 năm 2025),3.184.363.636,-,,3184363636.0,
Ông Văn Việt Sơn,Họ và tên > Ông Văn Việt Sơn,Ông Văn Việt Sơn,Tổng Giám đốc Nam Long Land(miễn nhiệm vào ngày 20 tháng 9 năm 2024),2.122.357.900,2.283.036.700,,2122357900.0,2283036700.0
Ông Nguyễn Huy Đức,Họ và tên > Ông Nguyễn Huy Đức,Ông Nguyễn Huy Đức,Giám đốc Tài chính Tập đoàn(miễn nhiệm vào ngày 16 tháng 9 năm 2024),1.175.009.882,-,,1175009882.0,
Ông Trần Xuân Ngọc,Họ và tên > Ông Trần Xuân Ngọc,Ông Trần Xuân Ngọc,Tổng Giám đốc Tập đoàn(miễn nhiệm vào ngày 30 tháng 3 năm 2024),942.057.143,-,,942057143.0,
Ông Phạm Đình Huy,Họ và tên > Ông Phạm Đình Huy,Ông Phạm Đình Huy,Giám đốc đầu tư Tập đoàn(miễn nhiệm vào ngày 2 tháng 5 năm 2024),-,6.313.935.793,,,6313935793.0
TỔNG CỘNG,Họ và tên > TỔNG CỘNG,TỔNG CỘNG,,41.533.760.396,42.685.322.767,,41533760396.0,42685322767.0
