row_label_raw,row_label_full,Bên liên quan > Nam Long CP,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Nhận cổ tức > Trả gốc vay > Chi phí thuê > Phí tư vấn quản lý > Lãi vay > Góp vốn > Hoàn vốn > Vay,Năm nay > 46.000.000.000 > 40.000.000.000 > 8.018.511.377 > 6.858.393.644 > 993.333.334 > -,VNDNăm trước > - > 8.212.217.103 > 1.489.033.128 > 653.333.333 > 200.000.000.000 > 100.000.000.000 > 40.000.000.000,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Nhận cổ tức > Trả gốc vay > Chi phí thuê > Phí tư vấn quản lý > Lãi vay > Góp vốn > Hoàn vốn > Vay,numeric__Năm nay > 46.000.000.000 > 40.000.000.000 > 8.018.511.377 > 6.858.393.644 > 993.333.334 > -,numeric__VNDNăm trước > - > 8.212.217.103 > 1.489.033.128 > 653.333.333 > 200.000.000.000 > 100.000.000.000 > 40.000.000.000
Anabuki,Anabuki,Anabuki,Công ty liên kết,Phí dịch vụ,8.245.891.768,1.340.878.899,,,8245891768.0,1340878899.0
Kikyo Valora,Kikyo Valora,Kikyo Valora,Công ty con,Góp vốn,195.000.000.000,-,,,195000000000.0,
Kikyo Valora,Kikyo Valora,Kikyo Valora,Công ty con,Trả gốc vay,100.000.000.000,-,,,100000000000.0,
Kikyo Valora,Kikyo Valora,Kikyo Valora,Công ty con,Doanh thu dịch vụ,3.239.000.000,-,,,3239000000.0,
Kikyo Valora,Kikyo Valora,Kikyo Valora,Công ty con,Lãi vay,3.016.666.668,6.100.000.002,,,3016666668.0,6100000002.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Chi phí thuê xe,1.325.514.928,1.663.918.186,,,1325514928.0,1663918186.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Góp vốn,-,2.000.000.000,,,,2000000000.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Hoàn trả vay,-,1.400.000.000,,,,1400000000.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Lợi nhuận phải thu,-,900.000.000,,,,900000000.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Lãi vay,-,71.166.665,,,,71166665.0
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Trả vay,10.000.000.000,10.000.000.000,,,10000000000.0,10000000000.0
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Nhận cổ tức,9.000.000.000,10.400.000.000,,,9000000000.0,10400000000.0
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Lãi vay,5.661.666.667,6.146.666.668,,,5661666667.0,6146666668.0
Nam Viên,Nam Viên,Nam Viên,Công ty con,Chi phí dịch vụ thiết kế,154.698.006,327.069.884,,,154698006.0,327069884.0
(*) Doanh thu từ bên liên quan (TM số 25.1),(*) Doanh thu từ bên liên quan (TM số 25.1),(*) Doanh thu từ bên liên quan (TM số 25.1),(*) Doanh thu từ bên liên quan (TM số 25.1),(*) Doanh thu từ bên liên quan (TM số 25.1),233.118.602.814,858.223.594.245,,,233118602814.0,858223594245.0
