row_label_raw,row_label_full,col_0,Number of shares,Number of shares_1,numeric__Number of shares,numeric__Number of shares_1
,,,Ending balance,Beginning balance,,
Authorised shares,Authorised shares,Authorised shares,"485,097,383","385,075,304",,
Shares issued and fully paid Ordinary shares,Shares issued and fully paid Ordinary shares,Shares issued and fully paid Ordinary shares,"485,097,383","384,777,471",,
Shares in circulation Ordinary shares,Shares in circulation Ordinary shares,Shares in circulation Ordinary shares,"475,097,383","384,777,471",,
