row_label_raw,row_label_full,Lenders,Ending balanceVND,Due date,Interest rate(% p.a.),Description of collateral,numeric__Ending balanceVND,numeric__Due date,numeric__Interest rate(% p.a.),numeric__Description of collateral
International Viet Nam Commercial Joint Stock Bank - Ho Chi Minh City Corporate Customer Business Center,International Viet Nam Commercial Joint Stock Bank - Ho Chi Minh City Corporate Customer Business Center,International Viet Nam Commercial Joint Stock Bank - Ho Chi Minh City Corporate Customer Business Center,"199,382,736,837",From 21 June 2026 to 18 September 2026,7.00 – 8.00,Unsecured,,,,
Vietnam Joint Stock Commercial Bank For Industry And Trade – Sam Son Brand,Vietnam Joint Stock Commercial Bank For Industry And Trade – Sam Son Brand,Vietnam Joint Stock Commercial Bank For Industry And Trade – Sam Son Brand,"131,330,666,890",From 20 June 2026 to 24 September 2026,7.00 – 7.25,Unsecured,,,,
Joint Stock Commercial Bank for Foreign Trade of Vietnam - HCMC Branch,Vietnam Joint Stock Commercial Bank For Industry And Trade – Sam Son Brand > Joint Stock Commercial Bank for Foreign Trade of Vietnam - HCMC Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam - HCMC Branch,"93,960,386,380",From 25 January 2026 to 20 June 2026,6.50,Unsecured,,,650.0,
Military Commercial Joint Stock Bank - Transaction Office Branch No. 2,Military Commercial Joint Stock Bank - Transaction Office Branch No. 2,Military Commercial Joint Stock Bank - Transaction Office Branch No. 2,"17,758,609,493",27 July 2026,7.00 – 7.50,Unsecured,,,,
Standard Chartered Bank (Vietnam) Limited – Ho Chi Minh Brand,Military Commercial Joint Stock Bank - Transaction Office Branch No. 2 > Standard Chartered Bank (Vietnam) Limited – Ho Chi Minh Brand,Standard Chartered Bank (Vietnam) Limited – Ho Chi Minh Brand,"17,485,379,377",23 May 2026,6.90,"Lot 6262, Map Sheet No. 6, Ben Luc Commune, Tây Ninh Province",,,690.0,
TOTAL,TOTAL,TOTAL,"459,917,778,977",,,,,,,
21.3 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:,21.3 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:,21.3 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:,21.3 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:,21.3 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:,21.3 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:,21.3 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:,,,,
Lenders,Lenders,Lenders,Ending balanceVND,Due date,Interest rate(% p.a.),Description of collateral,,,,
Orient Commercial Joint Stock Bank,Lenders > Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,"400,000,000,000",25 October 2027,8.60,"Ownership of derivative assets and transitional security assets at the Nam Long 2 Residential Area project in Nam Can Tho Urban Area, Cai Rang Ward, Can Tho City",,,860.0,
