row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",VND Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,816.491.827,-,816.491.827,816491827.0,,816491827.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,2.242.408.906,2.119.880.204,4.362.289.110,2242408906.0,2119880204.0,4362289110.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,3.058.900.733,2.119.880.204,5.178.780.937,3058900733.0,2119880204.0,5178780937.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,816.491.827,-,816.491.827,816491827.0,,816491827.0
Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế: > Số đầu năm,Số đầu năm,(816.491.827),-,(816.491.827),-816491827.0,,-816491827.0
Khấu hao trong năm,Giá trị khấu hao và hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(11.028.120),-,(11.028.120),-11028120.0,,-11028120.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế: > Số cuối năm,Số cuối năm,(827.519.947),-,(827.519.947),-827519947.0,,-827519947.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,2.231.380.786,2.119.880.204,4.351.260.990,2231380786.0,2119880204.0,4351260990.0
