row_label_raw,row_label_full,col_0,Loans,Bonds,VND Total,numeric__Loans,numeric__Bonds,numeric__VND Total
Beginning balance,Beginning balance,Beginning balance,"1,659,989,132,292","3,612,091,050,037","5,272,080,182,329",,,
Drawdown of loans and bonds,Drawdown of loans and bonds,Drawdown of loans and bonds,"987,038,015,668","660,000,000,000","1,647,038,015,668",,,
Repayment of loans and bonds,Repayment of loans and bonds,Repayment of loans and bonds,"(1,423,546,724,902)","(660,000,000,000)","(2,083,546,724,902)",,,
Cost of issuing bonds,Cost of issuing bonds,Cost of issuing bonds,-,"22,454,366,623","22,454,366,623",,,
Allocation cost of issuing bonds,Allocation cost of issuing bonds,Allocation cost of issuing bonds,-,"(8,885,000,000)","(8,885,000,000)",,,
Ending balance,Ending balance,Ending balance,"1,223,480,423,058","3,625,660,416,660","4,849,140,839,718",,,
