row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Công ty con,Hoàn trả ứng trước,267.544.324.000,-,,,267544324000.0,
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Công ty con,Thoái vốn,258.500.000.000,-,,,258500000000.0,
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Công ty con,Chia lợi nhuận theo HĐHTKD,252.466.079.659,653.805.948.982,,,252466079659.0,653805948982.0
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Công ty con,Nhận cổ tức,46.484.383.562,5.799.178.083,,,46484383562.0,5799178083.0
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Công ty con,Phí dịch vụ quản lý,3.600.000.000,3.600.000.000,,,3600000000.0,3600000000.0
Sản Giao Dịch,Sản Giao Dịch,Sản Giao Dịch,Công ty con,Phí hoa hồng,6.642.675.723,83.473.444.012,,,6642675723.0,83473444012.0
Sản Giao Dịch,Sản Giao Dịch,Sản Giao Dịch,Công ty con,Phải thu cổ tức,-,3.468.087.263,,,,3468087263.0
Paragon,Paragon,Paragon,Công ty liên doanh,Tạm ứng vốn góp,73.660.000.000,225.000.000.000,,,73660000000.0,225000000000.0
Nam Long Retail,Nam Long Retail,Nam Long Retail,Công ty con,Bán căn hộ,22.677.000.000,-,,,22677000000.0,
Nam Long Retail,Nam Long Retail,Nam Long Retail,Công ty con,Trả gốc vay,6.000.000.000,25.000.000.000,,,6000000000.0,25000000000.0
Nam Long Retail,Nam Long Retail,Nam Long Retail,Công ty con,Lãi vay,701.000.000,957.500.000,,,701000000.0,957500000.0
Nam Long Retail,Nam Long Retail,Nam Long Retail,Công ty con,Vay,-,40.000.000.000,,,,40000000000.0
Nam Long Retail,Nam Long Retail,Nam Long Retail,Công ty con,Nhân tiền mua căn hộ,-,21.995.358.182,,,,21995358182.0
Nam Long Retail,Nam Long Retail,Nam Long Retail,Công ty con,Lợi nhuận phải thu,-,250.000.000,,,,250000000.0
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Thu tiền thoại vốn,10.000.000.000,-,,,10000000000.0,
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Thoái vốn,-,75.977.690.000,,,,75977690000.0
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Trả gốc vay,-,36.000.000.000,,,,36000000000.0
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Nhân cổ tức,-,9.353.116.100,,,,9353116100.0
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Lãi vay,-,2.033.861.113,,,,2033861113.0
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Thu nhập cho thuê,989.350.645,1.355.900.000,,,989350645.0,1355900000.0
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Phí dịch vụ quản lý,-,9.408.277.856,,,,9408277856.0
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Cổ tức phải thu,-,4.700.000.000,,,,4700000000.0
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Nhân tiền mua căn hộ,-,632.000.000,,,,632000000.0
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Công ty con,Phí dịch vụ quản lý,186.015.836.227,116.938.987.000,,,186015836227.0,116938987000.0
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Công ty con,Trả gốc vay,14.000.000.000,1.000.000.000,,,14000000000.0,1000000000.0
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Công ty con,Lãi vay,2.533.916.924,2.963.420.349,,,2533916924.0,2963420349.0
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Công ty con,Phải thu cổ tức,-,356.340.000,,,,356340000.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Lãi vay,10.260.727.258,13.452.000.942,,,10260727258.0,13452000942.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Cổ tức,10.053.222.800,38.604.659.600,,,10053222800.0,38604659600.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Trả gốc vay,10.500.000.000,102.000.000.000,,,10500000000.0,102000000000.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Nhân lợi nhuận,1.110.000.000,-,,,1110000000.0,
Nam Phan,Nam Phan,Nam Phan,Công ty con,Vay,-,95.000.000.000,,,,95000000000.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Hoàn vốn,-,59.997.330.000,,,,59997330000.0
