row_label_raw,row_label_full,Entities,Business,Ending balance,Ending balance_1,Beginning balance,Beginning balance_1,numeric__Business,numeric__Ending balance,numeric__Ending balance_1,numeric__Beginning balance,numeric__Beginning balance_1
Entities,Entities,Entities,Business,Interest%,Cost of investmentVND,Interest%,Cost of investmentVND,,,,,
Dong Nai Waterfront Paragon (i),Entities > Dong Nai Waterfront Paragon (i),Dong Nai Waterfront Paragon (i),Real estate,"50,000","2,892,788,954,518",-,-,,50.0,,,
Dong Nai Waterfront Paragon (i),Entities > Dong Nai Waterfront Paragon (i),Dong Nai Waterfront Paragon (i),Real estate,"50,530","1,064,123,884,249",50.00,"990,463,884,249",,50.53,,5000.0,
NNH Mizuki (ii),Entities > NNH Mizuki (ii),NNH Mizuki (ii),Real estate,"50,000","540,000,000,000",50.00,"540,000,000,000",,50.0,,5000.0,
TOTAL,TOTAL,TOTAL,,,"4,496,912,838,767",,"1,530,463,884,249",,,,,
