row_label_raw,row_label_full,Full name,Position,Remuneration > Current year,Remuneration > Previous year,numeric__Position,numeric__Remuneration > Current year,numeric__Remuneration > Previous year
Mr Lucas Ignatius Loh Jen Yuh,Mr Lucas Ignatius Loh Jen Yuh,Mr Lucas Ignatius Loh Jen Yuh,Chief Executive Officer Group,"19,437,833,939","11,897,793,821",,,
Ms Nguyen Thanh Huong,Ms Nguyen Thanh Huong,Ms Nguyen Thanh Huong,Group Investment Director and Chief Executive Officer of Nam Long CP,"5,534,503,896","4,380,009,091",,,
Mr Chan Hong Wai,Mr Chan Hong Wai,Mr Chan Hong Wai,Group Chief Financial Officer (assigned 16 September 2024),"4,948,400,000","1,318,084,987",,,
Ms Nguyen Thi Phuong,Ms Nguyen Thi Phuong,Ms Nguyen Thi Phuong,Group Human Resources Director,"4,189,234,000","4,064,418,591",,,
Mr Ng Joo Tong,Mr Ng Joo Tong,Mr Ng Joo Tong,Chief Executive Officer - Nam Long Land (assigned on 7 July 2025),"3,184,363,636",-,,,
Mr. Nguyen Quang Duc,Mr. Nguyen Quang Duc,Mr. Nguyen Quang Duc,Group Chief Accountant,"2,122,357,900","2,283,036,700",,,
Mr Tran Anh Dung,Mr Tran Anh Dung,Mr Tran Anh Dung,"Chief Executive Officer - Nam Long CP (assigned on 8 January 2025, resigned on 28 April 2025)","1,175,009,882",-,,,
Mr Nguyen Hoang Vinh Vien,Mr Nguyen Hoang Vinh Vien,Mr Nguyen Hoang Vinh Vien,Acting Chief Executive Officer of Nam Long CP,"942,057,143",-,,,
Mr Van Viet Son,Mr Van Viet Son,Mr Van Viet Son,Chief Executive Officer of Nam Long Land (resigned on 20 September 2024),-,"6,313,935,793",,,
Mr Nguyen Huy Duc,Mr Nguyen Huy Duc,Mr Nguyen Huy Duc,Group Chief Financial Officer (resigned on 16 September 2024),-,"5,559,628,178",,,
Mr Tran Xuan Ngoc,Mr Tran Xuan Ngoc,Mr Tran Xuan Ngoc,Group Chief Executive Officer resigned on 30 March 2024),-,"4,784,346,314",,,
Mr Pham Dinh Huy,Mr Pham Dinh Huy,Mr Pham Dinh Huy,Group Chief Investment Officer (resigned on 2 May 2024),-,"2,084,069,292",,,
TOTAL,TOTAL,TOTAL,,"41,533,760,396","42,685,322,767",,,
