row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"863,890,965,153","1,206,264,383,342",,
At applicable CIT rate of tax 20%,At applicable CIT rate of tax 20%,At applicable CIT rate of tax 20%,"172,778,193,031","241,252,876,668",,
Adjustments to increase (decrease) CIT expenses:Share profit after tax to BCC parties,Adjustments to increase (decrease) CIT expenses:Share profit after tax to BCC parties,Adjustments to increase (decrease) CIT expenses:Share profit after tax to BCC parties,"51,308,620,168","130,761,189,798",,
Adjustment for under accrual of tax fromprior year,Adjustment for under accrual of tax fromprior year,Adjustment for under accrual of tax fromprior year,"881,058,960","15,594,774,695",,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"7,441,656,806","7,859,723,657",,
Dividend income exempted,Dividend income exempted,Dividend income exempted,"(83,107,521,272)","(81,687,914,653)",,
Unrecognized deferred tax onnon-deductible interest expenses (i),Unrecognized deferred tax onnon-deductible interest expenses (i),Unrecognized deferred tax onnon-deductible interest expenses (i),"26,370,346,003",-,,
Utilize non-deductible interest expensescarry forward,Utilize non-deductible interest expensescarry forward,Utilize non-deductible interest expensescarry forward,-,"(3,507,758,896)",,
Utilize tax loss carry forward,Utilize tax loss carry forward,Utilize tax loss carry forward,"(60,292,304,666)","(1,770,882,230)",,
Unrecognized deferred tax ontax loss carried forward,Unrecognized deferred tax ontax loss carried forward,Unrecognized deferred tax ontax loss carried forward,-,"60,469,490,973",,
CIT reduction,CIT reduction,CIT reduction,"(2,525,561,009)",-,,
CIT expense,CIT expense,CIT expense,"112,854,488,021","368,971,500,012",,
