row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),,,,
Southgate,Phải thu ngắn hạn của khách hàng (TM số 7) > Southgate,Southgate,Công ty con,Dịch vụ quản lý dự án,104.451.911.600,145.779.418.615,,,104451911600.0,145779418615.0
Nguyên Sơn,Phải thu ngắn hạn của khách hàng (TM số 7) > Nguyên Sơn,Nguyên Sơn,Công ty con,Dịch vụ tư vấn quản lý,32.602.359.901,32.602.359.901,,,32602359901.0,32602359901.0
Nam Long CP,Phải thu ngắn hạn của khách hàng (TM số 7) > Nam Long CP,Nam Long CP,Công ty con,Doanh thu cho thuê,21.617.662.694,22.181.404.576,,,21617662694.0,22181404576.0
Nam Long VCD,Phải thu ngắn hạn của khách hàng (TM số 7) > Nam Long VCD,Nam Long VCD,Công ty con,Dịch vụ tư vấn quản lý,15.522.980.062,8.932.836.062,,,15522980062.0,8932836062.0
Đồng Nai Waterfront,Phải thu ngắn hạn của khách hàng (TM số 7) > Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty liên doanh,Dịch vụ quản lý dự án,9.740.192.130,-,,,9740192130.0,
Anabuki,Phải thu ngắn hạn của khách hàng (TM số 7) > Anabuki,Anabuki,Công ty liên kết,Dịch vụ tư vấn quản lý,2.478.065.884,2.478.065.884,,,2478065884.0,2478065884.0
NNH Mizuki,Phải thu ngắn hạn của khách hàng (TM số 7) > NNH Mizuki,NNH Mizuki,Công ty liên doanh,Dịch vụ quản lý dự án,1.560.553.836,49.190.972.315,,,1560553836.0,49190972315.0
Nam Long Retail,Phải thu ngắn hạn của khách hàng (TM số 7) > Nam Long Retail,Nam Long Retail,Công ty con,Doanh thu bất động sản,1.198.129.411,-,,,1198129411.0,
Dịch vụ Nam Long,Phải thu ngắn hạn của khách hàng (TM số 7) > Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Dịch vụ tư vấn quản lý,810.536.590,1.839.212.590,,,810536590.0,1839212590.0
Nam Long Mekong,Phải thu ngắn hạn của khách hàng (TM số 7) > Nam Long Mekong,Nam Long Mekong,Công ty con,Dịch vụ tư vấn quản lý,220.000.000,7.579.429.438,,,220000000.0,7579429438.0
Paragon,Phải thu ngắn hạn của khách hàng (TM số 7) > Paragon,Paragon,Công ty liên doanh,Dịch vụ quản lý dự án,-,66.973.000.000,,,,66973000000.0
Nam Long ADC,Phải thu ngắn hạn của khách hàng (TM số 7) > Nam Long ADC,Nam Long ADC,Công ty con,Dịch vụ tư vấn quản lý,-,312.610.944,,,,312610944.0
