row_label_raw,row_label_full,col_0,Land use rights,Buildings and structures,VND Total,numeric__Land use rights,numeric__Buildings and structures,numeric__VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,
Beginning balance,Beginning balance,Beginning balance,"816,491,827",-,"816,491,827",,,
New purchase,New purchase,New purchase,"2,242,408,906","2,119,880,204","4,362,289,110",,,
Ending balance,Ending balance,Ending balance,"3,058,900,733","2,119,880,204","5,178,780,937",,,
In which:,In which:,In which:,In which:,In which:,In which:,,,
Fully depreciation,Fully depreciation,Fully depreciation,"816,491,827",-,"816,491,827",,,
Accumulated depreciation and amortisation:,Accumulated depreciation and amortisation:,Accumulated depreciation and amortisation:,Accumulated depreciation and amortisation:,Accumulated depreciation and amortisation:,Accumulated depreciation and amortisation:,,,
Beginning balance,Beginning balance,Beginning balance,"(816,491,827)",-,"(816,491,827)",,,
Charge for the year,Charge for the year,Charge for the year,"(11,028,120)",-,"(11,028,120)",,,
Ending balance,Ending balance,Ending balance,"(827,519,947)",-,"(827,519,947)",,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,
Beginning balance,Beginning balance,Beginning balance,-,-,-,,,
Ending balance,Ending balance,Ending balance,"2,231,380,786","2,119,880,204","4,351,260,990",,,
