row_label_raw,row_label_full,col_0,Ending balance,VNDBeginning balance,numeric__Ending balance,numeric__VNDBeginning balance
Inventory properties under development (i),Inventory properties under development (i),Inventory properties under development (i),"1,316,099,399,294","2,702,144,720,601",,
Project management services (ii),Project management services (ii),Project management services (ii),"265,637,826,871","33,507,406,113",,
TOTAL,TOTAL,TOTAL,"1,581,737,226,165","2,735,652,126,714",,
(i) Inventory properties under development:,(i) Inventory properties under development:,(i) Inventory properties under development:,(i) Inventory properties under development:,(i) Inventory properties under development:,,
Can Tho Project (*),Can Tho Project (*),Can Tho Project (*),"906,648,367,279","1,849,664,002,876",,
Phuoc Long B Project - extension,Phuoc Long B Project - extension,Phuoc Long B Project - extension,"131,843,326,349","123,577,414,433",,
Akari Project (**),Akari Project (**),Akari Project (**),"105,489,366,786","552,952,765,915",,
Tan Thuan Dong Project,Tan Thuan Dong Project,Tan Thuan Dong Project,"88,795,500,736","79,855,192,195",,
Long An 36ha Project (*),Long An 36ha Project (*),Long An 36ha Project (*),"35,683,783,915","18,491,524,622",,
Go O Moi Project,Go O Moi Project,Go O Moi Project,"13,286,885,880","12,312,418,134",,
VSIP Project,VSIP Project,VSIP Project,-,"17,610,171,621",,
Areco (Flora Novia) Project,Areco (Flora Novia) Project,Areco (Flora Novia) Project,-,"17,160,858,680",,
Other projects,Other projects,Other projects,"34,352,168,349","30,520,372,125",,
(ii) Project management services:,(ii) Project management services:,(ii) Project management services:,(ii) Project management services:,(ii) Project management services:,,
Dong Nai Waterfront Project,Dong Nai Waterfront Project,Dong Nai Waterfront Project,"197,525,972,169",-,,
Paragon Project,Paragon Project,Paragon Project,"43,198,845,586",-,,
Izumi Project,Izumi Project,Izumi Project,"24,913,009,116",-,,
VCT Project,VCT Project,VCT Project,-,"26,057,514,909",,
Phu Huu Project,Phu Huu Project,Phu Huu Project,-,"5,385,578,710",,
Other projects,Other projects,Other projects,-,"2,064,312,494",,
