row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Profit from disposal of an investment,Profit from disposal of an investment,Profit from disposal of an investment,"748,244,168,370","235,446,982,108",,
Dividend income and gain from investments,Dividend income and gain from investments,Dividend income and gain from investments,"415,537,606,362","408,439,573,266",,
Interest income from bank deposits,Interest income from bank deposits,Interest income from bank deposits,"92,889,683,133","44,685,923,541",,
TOTAL,TOTAL,TOTAL,"1,256,671,457,865","688,572,478,915",,
In which:,In which:,In which:,In which:,In which:,,
Finance income to related parties,Finance income to related parties,Finance income to related parties,"705,696,777,558","416,164,610,266",,
Finance income to other parties,Finance income to other parties,Finance income to other parties,"550,974,680,307","272,407,868,649",,
