row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
"Revenue from project management services and sales of land, apartments, town houses and villas","Revenue from project management services and sales of land, apartments, town houses and villas","Revenue from project management services and sales of land, apartments, town houses and villas","3,332,861,843,945","6,876,214,038,999",,
Revenue from rendering of services,Revenue from rendering of services,Revenue from rendering of services,"9,022,866,674","9,038,610,256",,
TOTAL,TOTAL,TOTAL,"3,341,884,710,619","6,885,252,649,255",,
In which:,In which:,In which:,In which:,In which:,,
Sales to other parties,Sales to other parties,Sales to other parties,"3,108,766,107,805","6,027,029,055,010",,
Sales to related parties (Note 31),Sales to related parties (Note 31),Sales to related parties (Note 31),"233,118,602,814","858,223,594,245",,
