row_label_raw,row_label_full,col_0,Ending balance,VNDBeginning balance,numeric__Ending balance,numeric__VNDBeginning balance
Short-term,Short-term,Short-term,Short-term,Short-term,,
Loans from banks (Note 21.2),Loans from banks (Note 21.2),Loans from banks (Note 21.2),"459,917,778,977","675,926,488,211",,
Loans from related parties (Notes 21.1 and 31),Loans from related parties (Notes 21.1 and 31),Loans from related parties (Notes 21.1 and 31),"363,562,644,081","408,020,552,171",,
Current portion of bonds (Note 21.4),Current portion of bonds (Note 21.4),Current portion of bonds (Note 21.4),-,"655,575,633,373",,
,,,"823,480,423,058","1,739,522,673,755",,
Long-term,Long-term,Long-term,Long-term,Long-term,,
Bonds (Note 21.4),Bonds (Note 21.4),Bonds (Note 21.4),"3,625,660,416,660","2,956,515,416,664",,
Loans from banks (Note 21.3),Loans from banks (Note 21.3),Loans from banks (Note 21.3),"400,000,000,000","400,000,000,000",,
Loans from related parties (Note 21.2 and 31),Loans from related parties (Note 21.2 and 31),Loans from related parties (Note 21.2 and 31),-,"176,042,091,910",,
,,,"4,025,660,416,660","3,532,557,508,574",,
TOTAL,TOTAL,TOTAL,"4,849,140,839,718","5,272,080,182,329",,
