row_label_raw,row_label_full,Nam Long Land > Nam Khang > Nam Long Mekong > Nam Long CP,Subsidiary,Management consultant fee > Construction service expenses > Rental fee,"413,584,250,737 > 120,666,196,121 > 94,670,283,063 > 16,357,949,558","254,728,578,542 > 129,627,801,023 > 95,734,005,660 > 20,275,355,094",numeric__Subsidiary,numeric__Management consultant fee > Construction service expenses > Rental fee,"numeric__413,584,250,737 > 120,666,196,121 > 94,670,283,063 > 16,357,949,558","numeric__254,728,578,542 > 129,627,801,023 > 95,734,005,660 > 20,275,355,094"
Trading Floor,Trading Floor,Trading Floor,Subsidiary,Commission fee,"9,813,741,392","34,262,093,969",,,,
Nam Long Service,Nam Long Service,Nam Long Service,Subsidiary,Management consultant fee,"4,168,022,858","4,168,022,858",,,,
Anabuki,Anabuki,Anabuki,Associate,Management consultant fee,"3,936,595,000","3,936,595,000",,,,
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Subsidiary,Management consultant fee,"990,000,000",-,,,,
Nam Long Bus,Nam Long Bus,Nam Long Bus,Subsidiary,Management consultant fee,"273,691,773","112,814,254",,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Management consultant fee,"166,425,590","166,425,590",,,,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Subsidiary,Management consultant fee,"151,295,000","5,665,694,799",,,,
Southgate,Southgate,Southgate,Subsidiary,Management consultant fee,-,"109,161,479",,,,
,,,,,"664,778,451,092","548,786,548,268",,,,
