row_label_raw,row_label_full,Nam Long CP > Vận tải Nam Long,Công ty con,Tiền đặt cọc,3.061.619.905 > 510.121.365,3.061.619.905 > 510.121.365_1,numeric__Công ty con,numeric__Tiền đặt cọc,numeric__3.061.619.905 > 510.121.365,numeric__3.061.619.905 > 510.121.365_1
Anabuki,Anabuki,Anabuki,Công ty liên kết,Tiền đặt cọc,110.000.000,110.000.000,,,110000000.0,110000000.0
Tân Hiệp,Tân Hiệp,Tân Hiệp,Bên liên quan,Tiền đặt cọc,567.000.000,567.000.000,,,567000000.0,567000000.0
,,,,,4.248.741.270,4.248.741.270,,,4248741270.0,4248741270.0
