row_label_raw,row_label_full,Related parties,Relationship,Transactions,Ending balance,Beginning balance,numeric__Relationship,numeric__Transactions,numeric__Ending balance,numeric__Beginning balance
Long-term loan (Note 21.2),Long-term loan (Note 21.2),Long-term loan (Note 21.2),Long-term loan (Note 21.2),Long-term loan (Note 21.2),Long-term loan (Note 21.2),Long-term loan (Note 21.2),,,,
Nam Phan,Nam Phan,Nam Phan,Subsidiary,Loan,-,"176,042,091,910",,,,
Short-term accrued expenses (Note 19),Short-term accrued expenses (Note 19),Short-term accrued expenses (Note 19),Short-term accrued expenses (Note 19),Short-term accrued expenses (Note 19),Short-term accrued expenses (Note 19),Short-term accrued expenses (Note 19),,,,
Nam Phan,Nam Phan,Nam Phan,Subsidiary,Loan interest,"55,390,243,444","45,129,516,186",,,,
Nguyen Son,Nguyen Son,Nguyen Son,Subsidiary,Loan interest,"38,008,624,334","39,008,624,334",,,,
Nam Phat Land,Nam Phat Land,Nam Phat Land,Subsidiary,Loan interest,"9,683,333,334","6,621,666,667",,,,
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Subsidiary,Loan interest,"8,499,518,023","6,429,934,431",,,,
Nam Khang,Nam Khang,Nam Khang,Subsidiary,Loan interest,"3,639,108,335","9,364,677,779",,,,
Nam Long Retail,Nam Long Retail,Nam Long Retail,Subsidiary,Loan interest,"1,658,500,000",-,,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Loan interest,"1,646,666,667","653,333,333",,,,
Kikyo Valora,Kikyo Valora,Kikyo Valora,Subsidiary,Loan interest,-,"20,816,666,672",,,,
Nam Long Bus,Nam Long Bus,Nam Long Bus,Subsidiary,Loan interest,-,"2,556,209,588",,,,
Nam Long Land,Nam Long Land,Nam Long Land,Subsidiary,Consultation fee,-,"957,500,000",,,,
,,,,,"118,525,994,137","131,538,128,990",,,,
