row_label_raw,row_label_full,Lenders,Ending balanceVND,Due date,Interest rate(% p.a.),numeric__Ending balanceVND,numeric__Due date,numeric__Interest rate(% p.a.)
Nam Phan,Nam Phan,Nam Phan,"165,542,091,910",15 May 2026,6.0,,,60.0
Nam Phat Land,Nam Phat Land,Nam Phat Land,"90,000,000,000",20 June 2026,6.0,,,60.0
Nam Khang,Nam Khang,Nam Khang,"65,000,000,000",3 May 2026,8.0,,,80.0
Nam Long Hong Phat,Nam Long Hong Phat,Nam Long Hong Phat,"34,020,552,171",31 December 2026,6.0,,,60.0
Nam Long Retail,Nam Long Retail,Nam Long Retail,"9,000,000,000",24 October 2026,6.0,,,60.0
TOTAL,TOTAL,TOTAL,"363,562,644,081",,,,,
