row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.847.774.710.000,2.431.271.455.967,5.940.860.165,1.964.612.327.881,8.249.599.354.013,3847774710000.0,2431271455967.0,5940860165.0,1964612327881.0,8249599354013.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,837.292.883.330,837.292.883.330,,,,837292883330.0,837292883330.0
Cổ tức bằng tiền công bố,Năm trước > Cổ tức bằng tiền công bố,Cổ tức bằng tiền công bố,-,-,-,(192.003.958.029),(192.003.958.029),,,,-192003958029.0,-192003958029.0
Trích lập quỹ khen thưởngphúc lợi,Năm trước > Trích lập quỹ khen thưởngphúc lợi,Trích lập quỹ khen thưởngphúc lợi,-,-,-,(33.860.000.000),(33.860.000.000),,,,-33860000000.0,-33860000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.847.774.710.000,2.431.271.455.967,5.940.860.165,2.576.041.253.182,8.861.028.279.314,3847774710000.0,2431271455967.0,5940860165.0,2576041253182.0,8861028279314.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.847.774.710.000,2.431.271.455.967,5.940.860.165,2.576.041.253.182,8.861.028.279.314,3847774710000.0,2431271455967.0,5940860165.0,2576041253182.0,8861028279314.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,751.036.477.132,751.036.477.132,,,,751036477132.0,751036477132.0
Cổ tức bằng tiềncông bố (i),Năm nay > Cổ tức bằng tiềncông bố (i),Cổ tức bằng tiềncông bố (i),-,-,-,(192.152.576.696),(192.152.576.696),,,,-192152576696.0,-192152576696.0
Phát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củaCông ty (ii),Năm nay > Phát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củaCông ty (ii),Phát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củaCông ty (ii),2.978.330.000,-,-,-,2.978.330.000,2978330000.0,,,,2978330000.0
Phát hành cổ phiếu mớicho cổ đông hiện hữu (iii),Năm nay > Phát hành cổ phiếu mớicho cổ đông hiện hữu (iii),Phát hành cổ phiếu mớicho cổ đông hiện hữu (iii),1.000.220.790.000,1.499.366.485.000,-,-,2.499.587.275.000,1000220790000.0,1499366485000.0,,,2499587275000.0
Trích lập quỹ khen thưởngphúc lợi (iv),Năm nay > Trích lập quỹ khen thưởngphúc lợi (iv),Trích lập quỹ khen thưởngphúc lợi (iv),-,-,-,(28.130.000.000),(28.130.000.000),,,,-28130000000.0,-28130000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.850.973.830.000,3.930.637.940.967,5.940.860.165,3.106.795.153.618,11.894.347.784.750,4850973830000.0,3930637940967.0,5940860165.0,3106795153618.0,11894347784750.0
