row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Selling expenses,Selling expenses,Selling expenses,Selling expenses,Selling expenses,,
"Marketing, commission and show-houses","Marketing, commission and show-houses","Marketing, commission and show-houses","318,266,554,524","621,957,417,097",,
Salary expenses,Salary expenses,Salary expenses,"227,829,682","462,575,362",,
Others,Others,Others,"1,572,403,397","404,302,414",,
,,,"320,066,787,603","622,824,294,873",,
General and administrative expenses,General and administrative expenses,General and administrative expenses,General and administrative expenses,General and administrative expenses,,
Salary expenses,Salary expenses,Salary expenses,"228,008,577,452","199,983,337,784",,
External services,External services,External services,"95,024,286,903","189,838,998,591",,
Depreciation and amortisation,Depreciation and amortisation,Depreciation and amortisation,"19,716,924,841","32,702,044,132",,
Rental expenses,Rental expenses,Rental expenses,"19,285,641,248","20,365,418,219",,
Provision for doubtful debt,Provision for doubtful debt,Provision for doubtful debt,-,"50,589,989,194",,
Others,Others,Others,"11,521,466,551","3,941,507,028",,
,,,"373,556,896,995","497,421,294,948",,
TOTAL,TOTAL,TOTAL,"693,623,684,598","1,120,245,589,821",,
