row_label_raw,row_label_full,Công ty,Địa điểm,Ngành nghề kinh doanh,Tỷ lệ lợi ích %,Quyển biểu quyết %,numeric__Địa điểm,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích %,numeric__Quyển biểu quyết %
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
"Công ty TNHH Một Thành Viên Dịch vụ Vận tải Nam Long (""Vận tải Nam Long"")","Công ty con > Công ty TNHH Một Thành Viên Dịch vụ Vận tải Nam Long (""Vận tải Nam Long"")","Công ty TNHH Một Thành Viên Dịch vụ Vận tải Nam Long (""Vận tải Nam Long"")",TPHCM,Dịch vụ vận tải,"100,00","100,00",,,100.0,100.0
"Công ty TNHH Nam Long Commercial Property (""Nam Long CP"")","Công ty con > Công ty TNHH Nam Long Commercial Property (""Nam Long CP"")","Công ty TNHH Nam Long Commercial Property (""Nam Long CP"")",TPHCM,Xây dựng và bắt động sản,"100,00","100,00",,,100.0,100.0
"Công ty TNHH Nam Long Land (""Nam Long Land"")","Công ty con > Công ty TNHH Nam Long Land (""Nam Long Land"")","Công ty TNHH Nam Long Land (""Nam Long Land"")",TPHCM,Dịch vụ quản lý,"100,00","100,00",,,100.0,100.0
"Công ty Cổ phần Southgate (""Southgate"")","Công ty con > Công ty Cổ phần Southgate (""Southgate"")","Công ty Cổ phần Southgate (""Southgate"")",TPHCM,Bất động sản,"65,00","65,00",,,65.0,65.0
"Công ty TNHH Đầu tư Nam Phát Land (""Nam Phát Land"")","Công ty con > Công ty TNHH Đầu tư Nam Phát Land (""Nam Phát Land"")","Công ty TNHH Đầu tư Nam Phát Land (""Nam Phát Land"")",TPHCM,Bất động sản,"100,00","100,00",,,100.0,100.0
"Công ty TNHH Nam Long Retail (""Nam Long Retail"")","Công ty con > Công ty TNHH Nam Long Retail (""Nam Long Retail"")","Công ty TNHH Nam Long Retail (""Nam Long Retail"")",TPHCM,Bất động sản,"100,00","100,00",,,100.0,100.0
Công ty TNHH Nam Long SPV,Công ty con > Công ty TNHH Nam Long SPV,Công ty TNHH Nam Long SPV,TPHCM,Bất động sản,"100,00","100,00",,,100.0,100.0
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,
"Công ty TNHH Paragon Đại Phước (""Paragon"") (**)","Công ty liên doanh > Công ty TNHH Paragon Đại Phước (""Paragon"") (**)","Công ty TNHH Paragon Đại Phước (""Paragon"") (**)",TPHCM,Bất động sản,"50,53","50,53",,,50.53,50.53
"Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")","Công ty liên doanh > Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")","Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")",TPHCM,Bất động sản,"50,00","50,00",,,50.0,50.0
"Công ty TNHH Thành phố Waterfront Đồng Nai (""Đồng Nai Waterfront"")","Công ty liên doanh > Công ty TNHH Thành phố Waterfront Đồng Nai (""Đồng Nai Waterfront"")","Công ty TNHH Thành phố Waterfront Đồng Nai (""Đồng Nai Waterfront"")",Tỉnh Đồng Nai,Bất động sản,"50,00","65,10",,,50.0,65.1
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty TNHH Anabuki NL Housing Service Việt Nam,Công ty liên kết > Công ty TNHH Anabuki NL Housing Service Việt Nam,Công ty TNHH Anabuki NL Housing Service Việt Nam,TPHCM,Bất động sản,"30,59","30,59",,,30.59,30.59
