row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.403.328.285,1.279.899.200,2.339.814.218,14.557.366.415,19.580.408.118,1403328285.0,1279899200.0,2339814218.0,14557366415.0,19580408118.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,-,-,230.900.000,230.900.000,,,,230900000.0,230900000.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,-,-,(2.339.814.218),-,(2.339.814.218),,,-2339814218.0,,-2339814218.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.403.328.285,1.279.899.200,-,14.788.266.415,17.471.493.900,1403328285.0,1279899200.0,,14788266415.0,17471493900.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,592.209.200,-,12.779.166.500,13.371.375.700,,592209200.0,,12779166500.0,13371375700.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(1.010.396.008),(812.374.445),(1.489.629.234),(13.276.661.862),(16.589.061.549),-1010396008.0,-812374445.0,-1489629234.0,-13276661862.0,-16589061549.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(56.133.132),(138.763.293),(616.851.675),(614.649.747),(1.426.397.847),-56133132.0,-138763293.0,-616851675.0,-614649747.0,-1426397847.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,-,-,2.106.480.909,-,2.106.480.909,,,2106480909.0,,2106480909.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(1.066.529.140),(951.137.738),-,(13.891.311.609),(15.908.978.487),-1066529140.0,-951137738.0,,-13891311609.0,-15908978487.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,392.932.277,467.524.755,850.184.984,1.280.704.553,2.991.346.569,392932277.0,467524755.0,850184984.0,1280704553.0,2991346569.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,336.799.145,328.761.462,-,896.954.806,1.562.515.413,336799145.0,328761462.0,,896954806.0,1562515413.0
