row_label_raw,row_label_full,Machinery and equipment,3 - 7 years,numeric__3 - 7 years
Buildings and structures,Buildings and structures,Buildings and structures,25 years,
Means of transportation,Means of transportation,Means of transportation,5 - 6 years,
Office equipment,Office equipment,Office equipment,2 - 6 years,
Computer software,Computer software,Computer software,3 - 5 years,
