row_label_raw,row_label_full,Southgate,Công ty con,Cổ tức,256.216.068.493,199.216.068.493,numeric__Công ty con,numeric__Cổ tức,numeric__256.216.068.493,numeric__199.216.068.493
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Thu hoàn vốn,15.977.690.000,25.977.690.000,,,15977690000.0,25977690000.0
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty liên doanh,Cổ tức,6.353.260.180,-,,,6353260180.0,
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Công ty con,Cổ tức,5.847.671.233,44.571.780.823,,,5847671233.0,44571780823.0
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Cổ tức,5.175.555.555,-,,,5175555555.0,
Mizuki,Mizuki,Mizuki,Công ty liên doanh,Cổ tức,3.600.000.000,3.600.000.000,,,3600000000.0,3600000000.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Thu hồi vốn góp HĐHTKD,810.000.000,1.920.000.000,,,810000000.0,1920000000.0
Anabuki,Anabuki,Anabuki,Công ty liên doanh,Khác,442.854.825,627.312.825,,,442854825.0,627312825.0
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Cổ tức,327.800.000,327.800.000,,,327800000.0,327800000.0
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Cổ tức,-,1.300.000.000,,,,1300000000.0
,,,,,294.750.900.286,277.540.652.141,,,294750900286.0,277540652141.0
