row_label_raw,row_label_full,Related parties,Relationship,Transaction,Current year,VND Previous year,numeric__Relationship,numeric__Transaction,numeric__Current year,numeric__VND Previous year
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Subsidiary,Refund of advance Capital redemption Profit distributed in accordance with BCC Dividend received Management services fee,"267,544,324,000258,500,000,000",-,,,,
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Subsidiary,Refund of advance Capital redemption Profit distributed in accordance with BCC Dividend received Management services fee,"252,466,079,65946,484,383,562","653,805,948,9825,799,178,083",,,,
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Subsidiary,Refund of advance Capital redemption Profit distributed in accordance with BCC Dividend received Management services fee,"3,600,000,000","3,600,000,000",,,,
Trading Floor,Trading Floor,Trading Floor,Subsidiary,Commission fees Dividend receivable,"6,642,675,723","83,473,444,0123,468,087,263",,,,
Paragon,Paragon,Paragon,Jointly-controlled entity,Advance for capital contribution,"73,660,000,000","225,000,000,000",,,,
Nam Long Retail,Nam Long Retail,Nam Long Retail,Subsidiary,Sales apartment Loan repayment Interest expense Loan Apartment purchase receipt Profit receivable,"22,677,000,0006,000,000,000701,000,000","-25,000,000,000957,500,00040,000,000,000",,,,
Nam Long Retail,Nam Long Retail,Nam Long Retail,Subsidiary,Sales apartment Loan repayment Interest expense Loan Apartment purchase receipt Profit receivable,-,"21,995,358,182250,000,000",,,,
Nguyen Son,Nguyen Son,Nguyen Son,Subsidiary,Divestment receipt Capital redemption Loan prepayment Dividend received Interest expenses,"10,000,000,000","-75,977,690,00036,000,000,0009,353,116,1002,033,861,113",,,,
Nam Long Service,Nam Long Service,Nam Long Service,Subsidiary,Rental income Management services expenses Dividend receivable Purchase apartment receipt,"989,350,645","1,355,900,0009,408,277,8564,700,000,000",,,,
Nam Long Service,Nam Long Service,Nam Long Service,Subsidiary,Rental income Management services expenses Dividend receivable Purchase apartment receipt,-,"632,000,000",,,,
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Subsidiary,Management services expenses Loan repayment Interest expenses Dividend receivable,"186,015,836,22714,000,000,0002,533,916,924","116,938,987,0001,000,000,0002,963,420,349356,340,000",,,,
Nam Phan,Nam Phan,Nam Phan,Subsidiary,Interest expenses Dividend receivable Loan repayment Profit received Loans Capital redemption,"10,260,727,25810,053,222,80010,500,000,0001,110,000,000","13,452,000,94238,604,659,600102,000,000,00095,000,000,00059,997,330,000",,,,
