row_label_raw,row_label_full,Related party,Relationship,numeric__Relationship
"Nam Long VCD Corporation (""Nam Long VCD"")","Nam Long VCD Corporation (""Nam Long VCD"")","Nam Long VCD Corporation (""Nam Long VCD"")",Subsidiary,
"Nguyen Son Real Estate Joint Stock Company (""Nguyen Son"")","Nguyen Son Real Estate Joint Stock Company (""Nguyen Son"")","Nguyen Son Real Estate Joint Stock Company (""Nguyen Son"")",Subsidiary,
"Nam Phan Investment Corporation (""Nam Phan"")","Nam Phan Investment Corporation (""Nam Phan"")","Nam Phan Investment Corporation (""Nam Phan"")",Subsidiary,
"Nam Long Apartment Development Company Limited (""Nam Long ADC"")","Nam Long Apartment Development Company Limited (""Nam Long ADC"")","Nam Long Apartment Development Company Limited (""Nam Long ADC"")",Subsidiary,
"Nam Long Mekong Joint Stock Company (""Nam Long Mekong"")","Nam Long Mekong Joint Stock Company (""Nam Long Mekong"")","Nam Long Mekong Joint Stock Company (""Nam Long Mekong"")",Subsidiary,
"NLG - NNR - HR Fuji Joint Stock Company (""NLG - NNR - HR Fuji"")","NLG - NNR - HR Fuji Joint Stock Company (""NLG - NNR - HR Fuji"")","NLG - NNR - HR Fuji Joint Stock Company (""NLG - NNR - HR Fuji"")",Subsidiary,
"NNH Kikyo Flora Company Limited (""Flora"")","NNH Kikyo Flora Company Limited (""Flora"")","NNH Kikyo Flora Company Limited (""Flora"")",Subsidiary,
"NNH Kikyo Valora Company Limited (""Valora"")","NNH Kikyo Valora Company Limited (""Valora"")","NNH Kikyo Valora Company Limited (""Valora"")",Subsidiary,
Nguyen Phuc Real Estate Trading and Investment Company Limited,Nguyen Phuc Real Estate Trading and Investment Company Limited,Nguyen Phuc Real Estate Trading and Investment Company Limited,Subsidiary,
Nam Khang Construction Investment Development One Member Limited Liability Company,Nam Khang Construction Investment Development One Member Limited Liability Company,Nam Khang Construction Investment Development One Member Limited Liability Company,Subsidiary,
"Nam Vien Construction and Design Consulting Joint Stock Company (""Nam Vien"")","Nam Vien Construction and Design Consulting Joint Stock Company (""Nam Vien"")","Nam Vien Construction and Design Consulting Joint Stock Company (""Nam Vien"")",Subsidiary,
Nam Khang Construction Materials Trading Company Limited,Nam Khang Construction Materials Trading Company Limited,Nam Khang Construction Materials Trading Company Limited,Subsidiary,
"6D Joint Stock Company (""6D"")","6D Joint Stock Company (""6D"")","6D Joint Stock Company (""6D"")",Subsidiary,
"Nam Long Real Estate Transaction Floor One Member Limited Liability Company (""Trading Floor"")","Nam Long Real Estate Transaction Floor One Member Limited Liability Company (""Trading Floor"")","Nam Long Real Estate Transaction Floor One Member Limited Liability Company (""Trading Floor"")",Subsidiary,
"Nam Long Township and Property Management One-Member Liability Company Limited (""Nam Long Service"")","Nam Long Township and Property Management One-Member Liability Company Limited (""Nam Long Service"")","Nam Long Township and Property Management One-Member Liability Company Limited (""Nam Long Service"")",Subsidiary,
"Nam Long Transportation Service One Member Limited Company (""Nam Long Bus"")","Nam Long Transportation Service One Member Limited Company (""Nam Long Bus"")","Nam Long Transportation Service One Member Limited Company (""Nam Long Bus"")",Subsidiary,
"Nam Long Commercial Property Company Limited (""Nam Long CP"")","Nam Long Commercial Property Company Limited (""Nam Long CP"")","Nam Long Commercial Property Company Limited (""Nam Long CP"")",Subsidiary,
"Nam Long Land Investment Company Limited (""Nam Long Land"")","Nam Long Land Investment Company Limited (""Nam Long Land"")","Nam Long Land Investment Company Limited (""Nam Long Land"")",Subsidiary,
"Southgate Joint Stock Company (""Southgate"")","Southgate Joint Stock Company (""Southgate"")","Southgate Joint Stock Company (""Southgate"")",Subsidiary,
"Nam Phat Land Investment Company Limited (""Nam Phat Land"")","Nam Phat Land Investment Company Limited (""Nam Phat Land"")","Nam Phat Land Investment Company Limited (""Nam Phat Land"")",Subsidiary,
"Nam Long Retail Company Limited (""Nam Long Retail"")","Nam Long Retail Company Limited (""Nam Long Retail"")","Nam Long Retail Company Limited (""Nam Long Retail"")",Subsidiary,
"Nam Long SPV Company Limited (""Nam Long SPV"")","Nam Long SPV Company Limited (""Nam Long SPV"")","Nam Long SPV Company Limited (""Nam Long SPV"")",Subsidiary,
"Paragon Dai Phuoc Limited Company (""Paragon"")","Paragon Dai Phuoc Limited Company (""Paragon"")","Paragon Dai Phuoc Limited Company (""Paragon"")",Jointly-controlled entity,
"NNH Mizuki Joint Stock Company (""NNH Mizuki"")","NNH Mizuki Joint Stock Company (""NNH Mizuki"")","NNH Mizuki Joint Stock Company (""NNH Mizuki"")",Jointly-controlled entity,
Dong Nai Waterfront City LLC,Dong Nai Waterfront City LLC,Dong Nai Waterfront City LLC,Jointly-controlled entity,
"Anabuki NL Housing Service Vietnam Co., Ltd (""Anabuki"")","Anabuki NL Housing Service Vietnam Co., Ltd (""Anabuki"")","Anabuki NL Housing Service Vietnam Co., Ltd (""Anabuki"")",Associate,
"Thai Binh Holding & Shoes Manufacturing Company (""Thai Binh"")","Thai Binh Holding & Shoes Manufacturing Company (""Thai Binh"")","Thai Binh Holding & Shoes Manufacturing Company (""Thai Binh"")",Related party,
"Tan Hiep Investment Company Limited (""Tan Hiep"")","Tan Hiep Investment Company Limited (""Tan Hiep"")","Tan Hiep Investment Company Limited (""Tan Hiep"")",Related party,
