row_label_raw,row_label_full,Related parties,Relationship,Transaction,Current year,Previous year,numeric__Relationship,numeric__Transaction,numeric__Current year,numeric__Previous year
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Dividend received,"46,000,000,000",-,,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Loan repayment,"40,000,000,000",-,,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Rental fee,"8,018,511,377","8,212,217,103",,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Management service fee,"6,858,393,644","1,489,033,128",,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Interest expenses,"993,333,334","653,333,333",,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Capital contribution,-,"200,000,000,000",,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Capital redemption,-,"100,000,000,000",,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Loan,-,"40,000,000,000",,,,
Anabuki,Anabuki,Anabuki,Associate,Service fee,"8,245,891,768","1,340,878,899",,,,
Kikyo Valora,Kikyo Valora,Kikyo Valora,Subsidiary,Capital contribution,"195,000,000,000",-,,,,
Kikyo Valora,Kikyo Valora,Kikyo Valora,Subsidiary,Loan repayment,"100,000,000,000",-,,,,
Kikyo Valora,Kikyo Valora,Kikyo Valora,Subsidiary,Sales of services,"3,239,000,000",-,,,,
Kikyo Valora,Kikyo Valora,Kikyo Valora,Subsidiary,Interest expenses,"3,016,666,668","6,100,000,002",,,,
Nam Long Bus,Nam Long Bus,Nam Long Bus,Subsidiary,Car rental fees,"1,325,514,928","1,663,918,186",,,,
Nam Long Bus,Nam Long Bus,Nam Long Bus,Subsidiary,Capital contribution,-,"2,000,000,000",,,,
Nam Long Bus,Nam Long Bus,Nam Long Bus,Subsidiary,Loan repayment,-,"1,400,000,000",,,,
Nam Long Bus,Nam Long Bus,Nam Long Bus,Subsidiary,Profit receivable,-,"900,000,000",,,,
Nam Long Bus,Nam Long Bus,Nam Long Bus,Subsidiary,Interest expenses,-,"71,166,665",,,,
Nam Phat Land,Nam Phat Land,Nam Phat Land,Subsidiary,Loan repayment,"10,000,000,000","10,000,000,000",,,,
Nam Phat Land,Nam Phat Land,Nam Phat Land,Subsidiary,Dividend received,"9,000,000,000","10,400,000,000",,,,
Nam Phat Land,Nam Phat Land,Nam Phat Land,Subsidiary,Interest expenses,"5,661,666,667","6,146,666,668",,,,
Nam Vien,Nam Vien,Nam Vien,Subsidiary,Design service expenses,"154,698,006","327,069,884",,,,
(*) Sales to related parties (Note 25.1),(*) Sales to related parties (Note 25.1),(*) Sales to related parties (Note 25.1),(*) Sales to related parties (Note 25.1),(*) Sales to related parties (Note 25.1),"233,118,602,814","858,223,594,245",,,,
