row_label_raw,row_label_full,Tổ chức thu xếp/ bảo lãnh phát hành > Công ty Cổ phần Chứng khoán khoán Vietcap > Công ty Cổ phần Chứng khoán VNDIRECT,Trái chủ > Công ty Cổ phần Chứng khoán Vietcap > Công ty TNHH Bảo hiểm Nhân Thọ SUN LIFE Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Tổng Công ty Cổ phần Bảo hiểm Bưu điện > Công ty Cổ phần Chứng khoán KIS Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ AIA Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ FWD Việt Nam,Số cuối năm VND > 660.000.000.000 > 126.000.000.000 > 100.000.000.000 > 226.000.000.000 > 70.000.000.000 > 16.000.000.000 > 12.000.000.000,"Lãi suất (%/năm) > 11 > 9,50",Ngày đảo hạn > Ngày 5 tháng 6 năm 2028 > Ngày 17 tháng 6 năm 2029,Mục đích > Tài trợ và đầu tư cho các dự án,Tài sản thế chấp > 38.552.000 cổ phần Nam Long VCD do Công ty sở hữu (TM số 15.1) > 30.560.749 cổ phiếu Southgate do Công ty sở hữu (TM số 15.1),numeric__Trái chủ > Công ty Cổ phần Chứng khoán Vietcap > Công ty TNHH Bảo hiểm Nhân Thọ SUN LIFE Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Tổng Công ty Cổ phần Bảo hiểm Bưu điện > Công ty Cổ phần Chứng khoán KIS Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ AIA Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ FWD Việt Nam,numeric__Số cuối năm VND > 660.000.000.000 > 126.000.000.000 > 100.000.000.000 > 226.000.000.000 > 70.000.000.000 > 16.000.000.000 > 12.000.000.000,"numeric__Lãi suất (%/năm) > 11 > 9,50",numeric__Ngày đảo hạn > Ngày 5 tháng 6 năm 2028 > Ngày 17 tháng 6 năm 2029,numeric__Mục đích > Tài trợ và đầu tư cho các dự án,numeric__Tài sản thế chấp > 38.552.000 cổ phần Nam Long VCD do Công ty sở hữu (TM số 15.1) > 30.560.749 cổ phiếu Southgate do Công ty sở hữu (TM số 15.1)
Trừ:Chi phí phát hành,Trừ:Chi phí phát hành,Trừ:Chi phí phát hành,Trừ:Chi phí phát hành,(34.339.583.340),,,,,,-34339583340.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.625.660.416.660,,,,,,3625660416660.0,,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,-,,,,,,,,,,
Trái phiếu dài hạn đến hạn trả,Trong đó:Trái phiếu dài hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,3.625.660.416.660,,,,,,3625660416660.0,,,,
