row_label_raw,row_label_full,Subsidiaries,Subsidiaries_1,Ending balance,Ending balance_1,Beginning balance,Beginning balance_1,numeric__Subsidiaries_1,numeric__Ending balance,numeric__Ending balance_1,numeric__Beginning balance,numeric__Beginning balance_1
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Interest (direct),Cost of investment,Interest (direct),Cost of investment,,,,,
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,%,VND,%,VND,,,,,
Nam Long VCD,Subsidiaries > Nam Long VCD,Nam Long VCD,(i),91.59,"2,187,365,370,000",91.59,"2,187,365,370,000",,9159.0,,9159.0,
Southgate,Subsidiaries > Southgate,Southgate,(ii),60.00,"1,302,394,102,740",60.00,"1,302,394,102,740",,6000.0,,6000.0,
Nam Long Land,Subsidiaries > Nam Long Land,Nam Long Land,,100.00,"668,334,000,000",100.00,"668,334,000,000",,10000.0,,10000.0,
Nam Khang,Subsidiaries > Nam Khang,Nam Khang,,100.00,"585,981,690,000",100.00,"585,981,690,000",,10000.0,,10000.0,
Nam Long CP,Subsidiaries > Nam Long CP,Nam Long CP,,100.00,"505,590,909,656",100.00,"505,590,909,656",,10000.0,,10000.0,
Kikyo Valora,Subsidiaries > Kikyo Valora,Kikyo Valora,(iii),59.11,"486,500,000,000",50.00,"291,500,000,000",,5911.0,,5000.0,
Nam Phan,Subsidiaries > Nam Phan,Nam Phan,,99.99,"351,698,486,717",99.99,"351,698,486,717",,9999.0,,9999.0,
Nam Phat Land,Subsidiaries > Nam Phat Land,Nam Phat Land,,90.00,"270,000,000,000",90.00,"270,000,000,000",,9000.0,,9000.0,
Nguyen Son,Subsidiaries > Nguyen Son,Nguyen Son,,87.33,"97,989,372,800",87.33,"97,989,372,800",,8733.0,,8733.0,
NLG - NNR - HR Fuji,Subsidiaries > NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,(iv),50.00,"51,714,839,707",50.00,"310,214,839,707",,5000.0,,5000.0,
Nam Long SPV,Subsidiaries > Nam Long SPV,Nam Long SPV,,100.00,"5,000,000,000",100.00,"5,000,000,000",,10000.0,,10000.0,
Dong Nai Waterfront,Subsidiaries > Dong Nai Waterfront,Dong Nai Waterfront,(v),-,-,65.10,"3,766,411,218,783",,,,6510.0,
TOTAL,TOTAL,TOTAL,,,"6,512,568,771,620",,"10,342,479,990,403",,,,,
