row_label_raw,row_label_full,Số cuối năm,Giá trị theo hợp đồng > Số cuối năm,Giá trị đã ghi nhận > Số cuối năm,VNDGiá trị cam kết còn lại > Số cuối năm,numeric__Giá trị theo hợp đồng > Số cuối năm,numeric__Giá trị đã ghi nhận > Số cuối năm,numeric__VNDGiá trị cam kết còn lại > Số cuối năm
Dự án Akari (*),Dự án Akari (*),Dự án Akari (*),2.905.504.646.744,2.676.090.301.959,229.414.344.785,2905504646744.0,2676090301959.0,229414344785.0
Dự án Cần Thơ,Dự án Cần Thơ,Dự án Cần Thơ,1.475.796.943.609,769.846.254.867,705.950.688.742,1475796943609.0,769846254867.0,705950688742.0
Dự án Southgate,Dự án Southgate,Dự án Southgate,1.160.799.943.598,499.403.831.567,661.396.112.031,1160799943598.0,499403831567.0,661396112031.0
Dự án Vàm Cổ Đông,Dự án Vàm Cổ Đông,Dự án Vàm Cổ Đông,439.421.503.417,377.313.303.693,62.108.199.724,439421503417.0,377313303693.0,62108199724.0
Dự án Izumi,Dự án Izumi,Dự án Izumi,359.596.954.451,36.484.438.372,323.112.516.079,359596954451.0,36484438372.0,323112516079.0
Dự án Mizuki,Dự án Mizuki,Dự án Mizuki,398.392.792.249,78.258.650.474,320.134.141.775,398392792249.0,78258650474.0,320134141775.0
Dự án Paragon,Dự án Paragon,Dự án Paragon,119.589.751.009,25.067.143.410,94.522.607.599,119589751009.0,25067143410.0,94522607599.0
Dự án Areco,Dự án Areco,Dự án Areco,31.892.467.573,13.250.024.692,18.642.442.881,31892467573.0,13250024692.0,18642442881.0
Dự án Tân Thuận Đông,Dự án Tân Thuận Đông,Dự án Tân Thuận Đông,17.287.018.885,3.477.579.189,13.809.439.696,17287018885.0,3477579189.0,13809439696.0
Dự án VISIP,Dự án VISIP,Dự án VISIP,4.159.700.000,-,4.159.700.000,4159700000.0,,4159700000.0
Khác,Khác,Khác,159.333.799.695,33.166.934.428,126.166.865.267,159333799695.0,33166934428.0,126166865267.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.071.775.521.230,4.512.358.462.651,2.559.417.058.579,7071775521230.0,4512358462651.0,2559417058579.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Dự án Akari (*),Số đầu năm > Dự án Akari (*),Dự án Akari (*),2.762.289.288.495,1.572.120.786.989,1.190.168.501.506,2762289288495.0,1572120786989.0,1190168501506.0
Dự án Cần Thơ,Số đầu năm > Dự án Cần Thơ,Dự án Cần Thơ,1.907.804.214.584,663.555.591.332,1.244.248.623.252,1907804214584.0,663555591332.0,1244248623252.0
Dự án Vàm Cổ Đông,Số đầu năm > Dự án Vàm Cổ Đông,Dự án Vàm Cổ Đông,472.966.976.889,289.530.853.127,183.436.123.762,472966976889.0,289530853127.0,183436123762.0
Dự án Izumi,Số đầu năm > Dự án Izumi,Dự án Izumi,320.502.518.137,131.969.096.518,188.533.421.619,320502518137.0,131969096518.0,188533421619.0
Dự án Mizuki,Số đầu năm > Dự án Mizuki,Dự án Mizuki,186.445.652.134,4.424.402.384,182.021.249.750,186445652134.0,4424402384.0,182021249750.0
Dự án Southgate,Số đầu năm > Dự án Southgate,Dự án Southgate,119.369.625.742,25.605.255.581,93.764.370.161,119369625742.0,25605255581.0,93764370161.0
Khác,Số đầu năm > Khác,Khác,152.606.993.146,14.961.047.277,137.645.945.869,152606993146.0,14961047277.0,137645945869.0
TỔNG CỘNG,Số đầu năm > TỔNG CỘNG,TỔNG CỘNG,5.921.985.269.127,2.702.167.033.208,3.219.818.235.919,5921985269127.0,2702167033208.0,3219818235919.0
