row_label_raw,row_label_full,col_0,Separate balance sheet,Separate balance sheet_1,Separate income statement,Separate income statement_1,numeric__Separate balance sheet,numeric__Separate balance sheet_1,numeric__Separate income statement,numeric__Separate income statement_1
,,,Ending balance,Beginning balance,Current year,Previous year,,,,
Prepayment of corporate income tax based on payment progress of customers (i),Prepayment of corporate income tax based on payment progress of customers (i),Prepayment of corporate income tax based on payment progress of customers (i),"26,317,384,776","27,696,167,527","(1,378,782,751)","(13,258,928,840)",,,,
Accrued expenses,Accrued expenses,Accrued expenses,"15,449,312,198","16,135,508,295","(686,196,097)","13,214,030",,,,
Provision for bad debts,Provision for bad debts,Provision for bad debts,"10,117,997,839","10,117,997,839",-,"10,117,997,839",,,,
Temporary difference in cost of sales,Temporary difference in cost of sales,Temporary difference in cost of sales,"11,718,498,239","1,978,625,148","9,739,873,091","(526,431,060)",,,,
Tax loss available for offset against future taxable income,Tax loss available for offset against future taxable income,Tax loss available for offset against future taxable income,-,-,-,"(92,926,527,946)",,,,
Deferred tax assets,Deferred tax assets,Deferred tax assets,"63,603,193,052","55,928,298,809",,,,,,
Net deferred tax income (expense),Net deferred tax income (expense),Net deferred tax income (expense),,,"7,674,894,243","(96,580,675,977)",,,,
