row_label_raw,row_label_full,Nam Phan > Nam Phát Land > Nam Khang > Nam Long Mekong > Nam Long Retail,Công ty con,Vay,165.542.091.910 > 90.000.000.000 > 65.000.000.000 > 34.020.552.171 > 9.000.000.000,100.000.000.000 > 105.000.000.000 > 48.020.552.171 > 15.000.000.000,numeric__Công ty con,numeric__Vay,numeric__165.542.091.910 > 90.000.000.000 > 65.000.000.000 > 34.020.552.171 > 9.000.000.000,numeric__100.000.000.000 > 105.000.000.000 > 48.020.552.171 > 15.000.000.000
Kikyo Valora,Kikyo Valora,Kikyo Valora,Công ty con,Vay,-,100.000.000.000,,,,100000000000.0
Nam Long CP,Nam Long CP,Nam Long CP,Công ty con,Vay,-,40.000.000.000,,,,40000000000.0
,,,,,363.562.644.081,408.020.552.171,,,363562644081.0,408020552171.0
