row_label_raw,row_label_full,Related parties,Relationship,Transaction,Current year,Previous year,numeric__Relationship,numeric__Transaction,numeric__Current year,numeric__Previous year
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Lending,"590,000,000,000",-,,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Lending received,"400,000,000,000",-,,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Refund of advance,"201,742,495,995",-,,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Project management services revenue (*),"84,801,828,605","379,330,992,502",,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Interest income,"5,175,555,555",-,,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Rental fees,"539,774,181","536,325,726",,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Receive in advance,,,,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,EPC services,-,"199,551,338,000",,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Dividend received,-,"13,124,192,220",,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Management services fee,-,"87,687,268",,,,
Dong Nai Waterfront,Dong Nai Waterfront,Dong Nai Waterfront,Jointly-controlled entity,Capital redemption,"2,892,788,954,518",-,,,,
Dong Nai Waterfront,Dong Nai Waterfront,Dong Nai Waterfront,Jointly-controlled entity,Lending,"435,127,112,000",-,,,,
Dong Nai Waterfront,Dong Nai Waterfront,Dong Nai Waterfront,Jointly-controlled entity,Project management services revenue (*),"14,924,761,526","48,716,614,825",,,,
Dong Nai Waterfront,Dong Nai Waterfront,Dong Nai Waterfront,Jointly-controlled entity,Interest income,"6,353,260,180",-,,,,
Southgate,Southgate,Southgate,Subsidiary,Project management services revenue (*),"116,709,301,000","239,372,700,741",,,,
Southgate,Southgate,Southgate,Subsidiary,Dividend received,"57,000,000,000","57,000,000,000",,,,
Southgate,Southgate,Southgate,Subsidiary,Management consultant expenses,-,"1,091,614,789",,,,
Nam Long Land,Nam Long Land,Nam Long Land,Subsidiary,Management consultant expenses,"864,199,553,052","471,050,018,921",,,,
Nam Long Land,Nam Long Land,Nam Long Land,Subsidiary,Dividend receivable,"120,000,000,000",-,,,,
Nam Long Land,Nam Long Land,Nam Long Land,Subsidiary,Capital contribution,-,"480,589,037,000",,,,
Nam Long Land,Nam Long Land,Nam Long Land,Subsidiary,Share transferred receivable,-,"168,334,000,000",,,,
Nam Long Land,Nam Long Land,Nam Long Land,Subsidiary,Disposal of fixed assets,-,"326,278,893",,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Jointly-controlled entity,Dividend received,"75,000,000,000","250,684,000,000",,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Jointly-controlled entity,Project management services revenue (*),"12,744,937,972","188,934,893,557",,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Jointly-controlled entity,Dividends receivable,-,"7,200,000,000",,,,
Nam Khang,Nam Khang,Nam Khang,Subsidiary,Dividend received,"52,000,000,000",-,,,,
Nam Khang,Nam Khang,Nam Khang,Subsidiary,Loan repayment,"40,000,000,000","60,000,000,000",,,,
Nam Khang,Nam Khang,Nam Khang,Subsidiary,Interest expenses,"8,201,907,068","8,399,250,001",,,,
Nam Khang,Nam Khang,Nam Khang,Subsidiary,Construction expenses,"164,922,137,932","241,248,363,247",,,,
Nam Khang,Nam Khang,Nam Khang,Subsidiary,Loan drawdown,-,"60,000,000,000",,,,
Nam Khang,Nam Khang,Nam Khang,Subsidiary,Late payment interest,-,"1,077,187,262",,,,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Subsidiary,Management services expenses,"20,148,763","5,499,752,774",,,,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Subsidiary,Dividend received,-,"17,000,000,000",,,,
