row_label_raw,row_label_full,col_0,Land use rights,Computer software,VND Total,numeric__Land use rights,numeric__Computer software,numeric__VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,
Beginning balance and ending balance,Beginning balance and ending balance,Beginning balance and ending balance,"281,743,975","121,560,806,534","121,842,550,509",,,
In which:,In which:,In which:,In which:,In which:,In which:,,,
Fully amortised,Fully amortised,Fully amortised,-,"21,765,051,200","21,765,051,200",,,
Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,,,
Beginning balance,Beginning balance,Beginning balance,-,"(64,098,269,313)","(64,098,269,313)",,,
Amortization for the year,Amortization for the year,Amortization for the year,-,"(22,195,981,105)","(22,195,981,105)",,,
Ending balance,Ending balance,Ending balance,-,"(86,294,250,418)","(86,294,250,418)",,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,
Beginning balance,Beginning balance,Beginning balance,"281,743,975","57,462,537,221","57,744,281,196",,,
Ending balance,Ending balance,Ending balance,"281,743,975","35,266,556,116","35,548,300,091",,,
