row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Interest expenses,Interest expenses,Interest expenses,"416,246,212,899","390,368,065,149",,
Handing re-encroachment expenses (Note 19),Handing re-encroachment expenses (Note 19),Handing re-encroachment expenses (Note 19),"357,057,080,380",-,,
Share profit to BCC partners,Share profit to BCC partners,Share profit to BCC partners,"252,466,079,659","653,805,948,982",,
Bond issuance fees and other fees,Bond issuance fees and other fees,Bond issuance fees and other fees,"25,752,697,467","101,753,312,499",,
Loss from disposal of investment,Loss from disposal of investment,Loss from disposal of investment,-,"2,562,500,000",,
Others,Others,Others,"200,000,000",-,,
TOTAL,TOTAL,TOTAL,"1,051,722,070,405","1,148,489,826,630",,
In which:,In which:,In which:,In which:,In which:,,
Finance expenses to related parties,Finance expenses to related parties,Finance expenses to related parties,"283,891,998,497","697,146,048,055",,
Finance expenses to other parties,Finance expenses to other parties,Finance expenses to other parties,"767,830,071,908","451,343,778,575",,
