row_label_raw,row_label_full,col_0,Ending balance,VNDBeginning balance,numeric__Ending balance,numeric__VNDBeginning balance
Reimbursement expenses (*),Reimbursement expenses (*),Reimbursement expenses (*),"357,057,080,380",-,,
Cost-to-complete of projects,Cost-to-complete of projects,Cost-to-complete of projects,"203,115,703,936","712,509,879,461",,
Interest expense payables,Interest expense payables,Interest expense payables,"169,027,997,108","176,919,475,680",,
Interest supporting fee and guarantee fee,Interest supporting fee and guarantee fee,Interest supporting fee and guarantee fee,"72,811,178,393","126,430,177,956",,
Other operating costs,Other operating costs,Other operating costs,"16,622,721,715","1,159,501,850",,
TOTAL,TOTAL,TOTAL,"818,634,681,532","1,017,019,034,947",,
In which:,In which:,In which:,In which:,In which:,,
Accrued expenses to other parties,Accrued expenses to other parties,Accrued expenses to other parties,"700,108,687,395","885,480,905,957",,
Accrued expenses to related parties (Note 31),Accrued expenses to related parties (Note 31),Accrued expenses to related parties (Note 31),"118,525,994,137","131,538,128,990",,
