row_label_raw,row_label_full,Related parties,Relationship,Transactions,Ending balance,Beginning balance,numeric__Relationship,numeric__Transactions,numeric__Ending balance,numeric__Beginning balance
Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),,,,
Southgate,Southgate,Southgate,Subsidiary,Project management services,"104,451,911,600","145,779,418,615",,,,
Nguyen Son,Nguyen Son,Nguyen Son,Subsidiary,Management consultant fee,"32,602,359,901","32,602,359,901",,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Rental revenue,"21,617,662,694","22,181,404,576",,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Management consultant fee,"15,522,980,062","8,932,836,062",,,,
Dong Nai Waterfront,Dong Nai Waterfront,Dong Nai Waterfront,Jointly-controlled entity,Project management services,"9,740,192,130",-,,,,
Anabuki,Anabuki,Anabuki,Associate,Management consultant fee,"2,478,065,884","2,478,065,884",,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Jointly-controlled entity,Project management services,"1,560,553,836","49,190,972,315",,,,
Nam Long Retail,Nam Long Retail,Nam Long Retail,Subsidiary,Sales of apartments,"1,198,129,411",-,,,,
Nam Long Service,Nam Long Service,Nam Long Service,Subsidiary,Management consultant fee,"810,536,590","1,839,212,590",,,,
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Subsidiary,Management consultant fee,"220,000,000","7,579,429,438",,,,
Paragon,Paragon,Paragon,Jointly-controlled entity,Project management services,-,"66,973,000,000",,,,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Subsidiary,Management consultant fee,-,"312,610,944",,,,
