row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Current year,Previous year,,
Other income,Other income,Other income,"31,370,235,468","17,965,823,381",,
Gain from contract compensation,Gain from contract compensation,Gain from contract compensation,"31,234,300,405","16,799,218,781",,
Disposal of asset,Disposal of asset,Disposal of asset,-,"644,288,786",,
Others,Others,Others,"135,935,063","522,315,814",,
Other expenses,Other expenses,Other expenses,"4,742,291,251","11,950,615,657",,
Penalty,Penalty,Penalty,"3,675,815,223","10,861,094,100",,
Disposal of asset,Disposal of asset,Disposal of asset,"664,951,108",-,,
Others,Others,Others,"401,524,920","1,089,521,557",,
OTHER PROFIT,OTHER PROFIT,OTHER PROFIT,"26,627,944,217","6,015,207,724",,
