row_label_raw,row_label_full,col_0,Beginning balance,Increase,Decrease,Ending balance,numeric__Beginning balance,numeric__Increase,numeric__Decrease,numeric__Ending balance
Receivable,Receivable,Receivable,Receivable,Receivable,Receivable,Receivable,,,,
Value-added tax,Value-added tax,Value-added tax,"5,361,973,518","86,943,329,461","(34,321,167,919)","57,984,135,060",,,,
Corporate income tax,Corporate income tax,Corporate income tax,-,"9,103,294,203",-,"9,103,294,203",,,,
Others,Others,Others,"200,000,000",-,"(159,906,780)","40,093,220",,,,
TOTAL,TOTAL,TOTAL,"5,561,973,518","96,046,623,664","(34,481,074,699)","67,127,522,483",,,,
Payable,Payable,Payable,Payable,Payable,Payable,Payable,,,,
"Corporate income tax (""CIT"")","Corporate income tax (""CIT"")","Corporate income tax (""CIT"")","270,401,972,964","120,529,382,264","(373,142,255,976)","17,789,099,252",,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,
Current income tax,Current income tax,Current income tax,"270,401,972,964","113,823,698,285","(368,813,978,643)","15,411,692,606",,,,
Prepayment of CIT based on payment progress of customers,Prepayment of CIT based on payment progress of customers,Prepayment of CIT based on payment progress of customers,-,"6,705,683,979","(4,328,277,333)","2,377,406,646",,,,
Personal income tax,Personal income tax,Personal income tax,"26,721,233,336","57,943,722,238","(59,965,886,604)","24,699,068,970",,,,
Value-added tax (*),Value-added tax (*),Value-added tax (*),-,"71,602,679,086","(71,535,072,472)","67,606,614",,,,
Others,Others,Others,-,"6,626,021,607","(6,102,966,365)","523,055,242",,,,
TOTAL,TOTAL,TOTAL,"297,123,206,300","256,701,805,195","(510,746,181,417)","43,078,830,078",,,,
