row_label_raw,row_label_full,Arrangement/guarantor organizations,Owners,Ending balance VND,Interest rate (% p.a.),Maturity date,Purpose,Collateral,numeric__Owners,numeric__Ending balance VND,numeric__Interest rate (% p.a.),numeric__Maturity date,numeric__Purpose,numeric__Collateral
Vietcap Securities Joint Stock Company,Vietcap Securities Joint Stock Company,Vietcap Securities Joint Stock Company,Vietcap Securities Joint Stock Company,"660,000,000,000",11,5 June 2028,,"38,552,000 Nam Long VCD's shares owned by the Company",,,11.0,,,
VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,Sun Life Vietnam Insurance L.L.C,"126,000,000,000",9.50,17 June 2029,Implement the Company's investment plans and projects,"30,560,749 Southgate's shares owned by the Company (Note 15.1)",,,950.0,,,
VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,Generali Vietnam Life Insurance L.L.C,"100,000,000,000",9.50,17 June 2029,Implement the Company's investment plans and projects,"30,560,749 Southgate's shares owned by the Company (Note 15.1)",,,950.0,,,
VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,Post-Telecommunication Joint Stock Insurance Corporation,"226,000,000,000",9.50,17 June 2029,Implement the Company's investment plans and projects,"30,560,749 Southgate's shares owned by the Company (Note 15.1)",,,950.0,,,
VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,KIS Vietnam Securities Joint Stock Company,"70,000,000,000",9.50,17 June 2029,Implement the Company's investment plans and projects,"30,560,749 Southgate's shares owned by the Company (Note 15.1)",,,950.0,,,
VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,AIA Vietnam Insurance L.L.C,"16,000,000,000",9.50,17 June 2029,Implement the Company's investment plans and projects,"30,560,749 Southgate's shares owned by the Company (Note 15.1)",,,950.0,,,
VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,VNDIRECT Securities Joint Stock Company,FWD Vietnam Insurance L.L.C,"12,000,000,000",9.50,17 June 2029,Implement the Company's investment plans and projects,"30,560,749 Southgate's shares owned by the Company (Note 15.1)",,,950.0,,,
Less:Issuance costs,Less:Issuance costs,Less:Issuance costs,Less:Issuance costs,"(34,339,583,340)",,,,,,,,,,
TOTAL,TOTAL,TOTAL,TOTAL,"3,625,660,416,660",,,,,,,,,,
In which:Non-current portion,In which:Non-current portion,In which:Non-current portion,In which:Non-current portion,-,,,,,,,,,,
Current portion,Current portion,Current portion,Current portion,"3,625,660,416,660",,,,,,,,,,
