row_label_raw,row_label_full,col_0,col_1,VND,VND_1,numeric__col_1,numeric__VND,numeric__VND_1
,,,,Số cuối năm,Số đầu năm,,,
Bất đông sản dở dang (i),Bất đông sản dở dang (i),Bất đông sản dở dang (i),Bất đông sản dở dang (i),1.316.099.399.294,2.702.144.720.601,,1316099399294.0,2702144720601.0
Dịch vụ quản lý dự án (ii),Dịch vụ quản lý dự án (ii),Dịch vụ quản lý dự án (ii),Dịch vụ quản lý dự án (ii),265.637.826.871,33.507.406.113,,265637826871.0,33507406113.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.581.737.226.165,2.735.652.126.714,,1581737226165.0,2735652126714.0
(i),(i),(i),Dự án bắt đông sản dở dang:,,,,,
(i),(i) > (i),(i),Dự án Cần Thơ (*) (**),906.648.367.279,1.849.664.002.876,,906648367279.0,1849664002876.0
(i),(i) > (i),(i),Dự án Phước Long B - mở rộng,131.843.326.349,123.577.414.433,,131843326349.0,123577414433.0
(i),(i) > (i),(i),Dự án Akari (**),105.489.366.786,552.952.765.915,,105489366786.0,552952765915.0
(i),(i) > (i),(i),Dự án Tân Thuận Đông,88.795.500.736,79.855.192.195,,88795500736.0,79855192195.0
(i),(i) > (i),(i),Dự án Long An 36ha (*),35.683.783.915,18.491.524.622,,35683783915.0,18491524622.0
(i),(i) > (i),(i),Dự án Gò Ô Môi,13.286.885.880,12.312.418.134,,13286885880.0,12312418134.0
(i),(i) > (i),(i),Dự án VSIP,-,17.610.171.621,,,17610171621.0
(i),(i) > (i),(i),Dự án Areco (Flora Novia),-,17.160.858.680,,,17160858680.0
(i),(i) > (i),(i),Các dự án khác,34.352.168.349,30.520.372.125,,34352168349.0,30520372125.0
(ii),(ii),(ii),Dịch vụ quản lý dự án,,,,,
(ii),(ii) > (ii),(ii),Dự án Đồng Nai Waterfront,197.525.972.169,-,,197525972169.0,
(ii),(ii) > (ii),(ii),Dự án Paragon,43.198.845.586,-,,43198845586.0,
(ii),(ii) > (ii),(ii),Dự án Izumi,24.913.009.116,-,,24913009116.0,
(ii),(ii) > (ii),(ii),Dự án VCT,-,26.057.514.909,,,26057514909.0
(ii),(ii) > (ii),(ii),Dự án Phú Hữu,-,5.385.578.710,,,5385578710.0
(ii),(ii) > (ii),(ii),Khác,-,2.064.312.494,,,2064312494.0
