row_label_raw,row_label_full,col_0,Nội dung nghiệp vụ,Năm 2021Thu nhập/(Chi phí)VND,Năm 2020Thu nhập/(Chi phí)VND,numeric__Nội dung nghiệp vụ,numeric__Năm 2021Thu nhập/(Chi phí)VND,numeric__Năm 2020Thu nhập/(Chi phí)VND
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Thu lãi tiền gửi không kỳ hạn và có ký hạn,44.461.673.618,39.987.862.684,,44461673618.0,39987862684.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu phí quản lý cổ đông,600.000.000,600.000.000,,600000000.0,600000000.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu phí hợp tác cho vay thanh toán tiền mua chứng khoán,59.765.033.711,28.288.941.945,,59765033711.0,28288941945.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Phí quản lý tài khoản tài của hợp đồng IB,-,(225.000.000),,,-225000000.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu cho thuê văn phòng,200.282.065,-,,200282065.0,
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Chi phí đặt ấn phẩm BOND,(845.203.659),(640.000.000),,-845203659.0,-640000000.0
Công ty TNHHQuản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội,Công ty TNHHQuản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội,Công ty TNHHQuản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội,Chi phí tiền điện và thuê văn phòng,(24.918.855.088),(14.259.373.259),,-24918855088.0,-14259373259.0
Công ty TNHHQuản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội,Công ty TNHHQuản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội,Công ty TNHHQuản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội,Chi phí tư vấn giá trị tài sản,-,(43.400.000),,,-43400000.0
Công ty TNHH Bảo hiểm nhân thọ MBAgeas,Công ty TNHH Bảo hiểm nhân thọ MBAgeas,Công ty TNHH Bảo hiểm nhân thọ MBAgeas,Doanh thu cho thuê văn phòng,662.247.091,4.040.829.708,,662247091.0,4040829708.0
Tổng Công ty cổ phần Bảo hiểmQuân đội,Tổng Công ty cổ phần Bảo hiểmQuân đội,Tổng Công ty cổ phần Bảo hiểmQuân đội,Doanh thu phí tư vấn,80.000.000,-,,80000000.0,
Tổng Công ty cổ phần Bảo hiểmQuân đội,Tổng Công ty cổ phần Bảo hiểmQuân đội,Tổng Công ty cổ phần Bảo hiểmQuân đội,Chi phí bảo hiểm,(1.655.978.802),(1.770.123.454),,-1655978802.0,-1770123454.0
Công ty Tài chínhTNHH MB SHINSEI,Công ty Tài chínhTNHH MB SHINSEI,Công ty Tài chínhTNHH MB SHINSEI,Doanh thu phí đại lý lưu ký và thanh toán trái phiếu,2.272.727,-,,2272727.0,
Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Công ty Cổ phầnQuản lý Quỹ đầu tư MB,"Doanh thu phí dịch vụ lưu ký, chuyển khoản giao dịch chứng khoán",1.152.839.890,199.280.434,,1152839890.0,199280434.0
Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Phí tư vấn đầu tư chứng khoán,(385.000.000),(107.000.000),,-385000000.0,-107000000.0
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,"Tiền lương, thường và thủ lao",(14.097.164.843),(1.657.147.818),,-14097164843.0,-1657147818.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,"Tiền lương, thường và thủ lao",(5.232.258.089),(934.400.000),,-5232258089.0,-934400000.0
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,"Tiền lương, thường và thủ lao",(30.742.422.959),(10.278.665.533),,-30742422959.0,-10278665533.0
