row_label_raw,row_label_full,Quá hạn VND,Đến 01 năm VND,Từ 01 – 05 năm VND,Trên 05 năm VND,Tổng cộng VND,numeric__Đến 01 năm VND,numeric__Từ 01 – 05 năm VND,numeric__Trên 05 năm VND,numeric__Tổng cộng VND
-,-,-,118.318.984.352,-,-,118.318.984.352,118318984352.0,,,118318984352.0
-,-,-,1.722.347.864.808,-,-,1.722.347.864.808,1722347864808.0,,,1722347864808.0
-,-,-,1.584.415.039.025,10.000.000.000,-,1.594.415.039.025,1584415039025.0,10000000000.0,,1594415039025.0
-,-,-,7.151.289.176.293,-,-,7.151.289.176.293,7151289176293.0,,,7151289176293.0
-,-,-,117.949.857.502,-,-,117.949.857.502,117949857502.0,,,117949857502.0
-,-,-,110.612.278.791,-,-,110.612.278.791,110612278791.0,,,110612278791.0
4.100.898.228,4.100.898.228,4.100.898.228,16.883.415.736,-,-,20.984.313.964,16883415736.0,,,20984313964.0
-,-,-,10.061.633.840,-,-,10.061.633.840,10061633840.0,,,10061633840.0
-,-,-,51.750.791.553,-,-,51.750.791.553,51750791553.0,,,51750791553.0
-,-,-,-,121.732.322.717,-,121.732.322.717,,121732322717.0,,121732322717.0
-,-,-,-,-,17.956.433.957,17.956.433.957,,,17956433957.0,17956433957.0
-,-,-,-,-,10.109.941.596,10.109.941.596,,,10109941596.0,10109941596.0
-,-,-,-,86.355.593.733,-,86.355.593.733,,86355593733.0,,86355593733.0
4.100.898.228,4.100.898.228,4.100.898.228,10.883.629.041.900,218.087.916.450,28.066.375.553,11.133.884.232.131,10883629041900.0,218087916450.0,28066375553.0,11133884232131.0
-,-,-,6.266.414.308.030,-,-,6.266.414.308.030,6266414308030.0,,,6266414308030.0
-,-,-,30.234.768.959,-,-,30.234.768.959,30234768959.0,,,30234768959.0
-,-,-,20.304.428.797,-,-,20.304.428.797,20304428797.0,,,20304428797.0
-,-,-,2.453.002.000,-,-,2.453.002.000,2453002000.0,,,2453002000.0
-,-,-,86.296.358.135,-,-,86.296.358.135,86296358135.0,,,86296358135.0
-,-,-,191.475.017.406,-,-,191.475.017.406,191475017406.0,,,191475017406.0
-,-,-,36.125.311.416,-,-,36.125.311.416,36125311416.0,,,36125311416.0
-,-,-,158.248.586.015,-,-,158.248.586.015,158248586015.0,,,158248586015.0
-,-,-,-,-,7.205.078.858,7.205.078.858,,,7205078858.0,7205078858.0
-,-,-,834.981.394.746,-,-,834.981.394.746,834981394746.0,,,834981394746.0
-,-,-,-,218.165.500,-,218.165.500,,218165500.0,,218165500.0
-,-,-,7.626.533.175.504,218.165.500,7.205.078.858,7.633.956.419.862,7626533175504.0,218165500.0,7205078858.0,7633956419862.0
4.100.898.228,4.100.898.228,4.100.898.228,3.257.095.866.396,217.869.750.950,20.861.296.695,3.499.927.812.269,3257095866396.0,217869750950.0,20861296695.0,3499927812269.0
