row_label_raw,row_label_full,CHỈ TIÊU,Số dư đầu năm > Ngày 1/1/2020 > VND,Số dư đầu năm > Ngày 1/1/2021 > VND,Số tăng/giảm trong năm > Năm trước > Tăng > VND,Số tăng/giảm trong năm > Năm trước > Giảm > VND,Số tăng/giảm trong năm > Năm nay > Tăng > VND,Số tăng/giảm trong năm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31/12/2020 > VND,Số dư cuối năm > Ngày 31/12/2021 > VND,numeric__Số dư đầu năm > Ngày 1/1/2020 > VND,numeric__Số dư đầu năm > Ngày 1/1/2021 > VND,numeric__Số tăng/giảm trong năm > Năm trước > Tăng > VND,numeric__Số tăng/giảm trong năm > Năm trước > Giảm > VND,numeric__Số tăng/giảm trong năm > Năm nay > Tăng > VND,numeric__Số tăng/giảm trong năm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31/12/2020 > VND,numeric__Số dư cuối năm > Ngày 31/12/2021 > VND
A,A,A,1,2,3,4,5,6,7,8,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,1.221.129.178.800,1.643.181.396.700,422.052.217.900,-,1.032.339.736.500,-,1.643.181.396.700,2.675.521.133.200,1221129178800.0,1643181396700.0,422052217900.0,,1032339736500.0,,1643181396700.0,2675521133200.0
1.1. Cổ phiếu phổ thông,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1.1. Cổ phiếu phổ thông,1.1. Cổ phiếu phổ thông,1.221.242.800.000,1.643.310.840.000,422.068.040.000,-,1.032.872.400.000,-,1.643.310.840.000,2.676.183.240.000,1221242800000.0,1643310840000.0,422068040000.0,,1032872400000.0,,1643310840000.0,2676183240000.0
1.2. Cổ phiếu quỹ,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1.2. Cổ phiếu quỹ,1.2. Cổ phiếu quỹ,(113.621.200),(129.443.300),(15.822.100),-,(532.663.500),-,(129.443.300),(662.106.800),-113621200.0,-129443300.0,-15822100.0,,-532663500.0,,-129443300.0,-662106800.0
3. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 3. Quỹ dự trữ bổ sung vốn điều lệ,3. Quỹ dự trữ bổ sung vốn điều lệ,26.552.236.410,39.987.506.742,13.435.270.332,-,29.340.532.572,-,39.987.506.742,69.328.039.314,26552236410.0,39987506742.0,13435270332.0,,29340532572.0,,39987506742.0,69328039314.0
4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,26.542.252.310,39.977.522.642,13.435.270.332,-,29.340.532.572,-,39.977.522.642,69.318.055.214,26542252310.0,39977522642.0,13435270332.0,,29340532572.0,,39977522642.0,69318055214.0
5. Các Quỹ khác thuộc Vốn chủ sở hữu,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 5. Các Quỹ khác thuộc Vốn chủ sở hữu,5. Các Quỹ khác thuộc Vốn chủ sở hữu,1.625.982.305,1.625.982.305,-,-,-,-,1.625.982.305,1.625.982.305,1625982305.0,1625982305.0,,,,,1625982305.0,1625982305.0
6. Lợi nhuận chưa phân phối,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 6. Lợi nhuận chưa phân phối,6. Lợi nhuận chưa phân phối,393.986.566.921,335.596.064.315,268.705.406.640,327.095.909.246,586.810.651.435,326.654.017.675,335.596.064.315,595.752.698.075,393986566921.0,335596064315.0,268705406640.0,327095909246.0,586810651435.0,326654017675.0,335596064315.0,595752698075.0
a. Lợi nhuận đã thực hiện,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > a. Lợi nhuận đã thực hiện,a. Lợi nhuận đã thực hiện,403.804.003.603,340.448.459.848,263.740.365.491,327.095.909.246,576.602.578.171,326.654.017.675,340.448.459.848,590.397.020.344,403804003603.0,340448459848.0,263740365491.0,327095909246.0,576602578171.0,326654017675.0,340448459848.0,590397020344.0
b. Lợi nhuận chưa thực hiện,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > b. Lợi nhuận chưa thực hiện,b. Lợi nhuận chưa thực hiện,(9.817.436.682),(4.852.395.533),4.965.041.149,-,10.208.073.264,-,(4.852.395.533),5.355.677.731,-9817436682.0,-4852395533.0,4965041149.0,,10208073264.0,,-4852395533.0,5355677731.0
TỔNG CỘNG,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > TỔNG CỘNG,TỔNG CỘNG,1.669.836.216.746,2.060.368.472.704,717.628.165.204,327.095.909.246,1.677.831.453.079,326.654.017.675,2.060.368.472.704,3.411.545.908.108,1669836216746.0,2060368472704.0,717628165204.0,327095909246.0,1677831453079.0,326654017675.0,2060368472704.0,3411545908108.0
