row_label_raw,row_label_full,col_0,"Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bị dụngcụ quản lýVND,Tổng cộngVND,"numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bị dụngcụ quản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm 2020,Nguyên giá > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,81.807.265.623,8.102.006.999,4.980.292.173,94.889.564.795,81807265623.0,8102006999.0,4980292173.0,94889564795.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,10.742.811.200,-,-,10.742.811.200,10742811200.0,,,10742811200.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(133.401.260),(968.000.000),-,(1.101.401.260),-133401260.0,-968000000.0,,-1101401260.0
Ngày 31 tháng 12 năm 2020,Nguyên giá > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,92.416.675.563,7.134.006.999,4.980.292.173,104.530.974.735,92416675563.0,7134006999.0,4980292173.0,104530974735.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,54.167.588.778,4.097.326.359,3.089.555.740,61.354.470.877,54167588778.0,4097326359.0,3089555740.0,61354470877.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.215.322.542,976.663.272,477.108.501,8.669.094.315,7215322542.0,976663272.0,477108501.0,8669094315.0
Giảm trong năm,Khấu hao lũy kế > Giảm trong năm,Giảm trong năm,(133.401.260),(968.000.000),-,(1.101.401.260),-133401260.0,-968000000.0,,-1101401260.0
Ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,61.249.510.060,4.105.989.631,3.566.664.241,68.922.163.932,61249510060.0,4105989631.0,3566664241.0,68922163932.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2020,Giá trị còn lại > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,27.639.676.845,4.004.680.640,1.890.736.433,33.535.093.918,27639676845.0,4004680640.0,1890736433.0,33535093918.0
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,31.167.165.503,3.028.017.368,1.413.627.932,35.608.810.803,31167165503.0,3028017368.0,1413627932.0,35608810803.0
