row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,31/12/2021 VND,31/12/2020 VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2021 VND,numeric__31/12/2020 VND
,,,A. TÀI SẢN CỦA CÔNG TY CHỨNG KHOÁN (CTCK) VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT,,,,,,,
002,002,002,Chứng chỉ có giá nhận giữ hộ,28.1,9.883.660.000,9.883.660.000,,281.0,9883660000.0,9883660000.0
004,004,004,Nợ khó đòi đã xử lý,28.2,554.424.312.143,670.996.822.411,,282.0,554424312143.0,670996822411.0
005,005,005,Ngoại tệ các loại USDJPY,,-780,-780,,,-780.0,-780.0
006,006,006,Cổ phiếu đang lưu hành (số lượng),27.3,267.590.641,164.321.530,,273.0,267590641.0,164321530.0
007,007,007,Cổ phiếu quỹ (số cổ phiếu),27.3,27.683,9.554,,273.0,27683.0,9554.0
008,008,008,Tài sản tài chính niêm yết/dăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),28.3,1.654.179.250.000,250.926.160.000,,283.0,1654179250000.0,250926160000.0
009,009,009,Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của CTCK,,276.840.000,-,,,276840000.0,
010,010,010,Tài sản tài chính chờ về của CTCK,,420.420.000.000,311.827.400.000,,,420420000000.0,311827400000.0
012,012,012,Tài sản tài chính chưa lưu ký tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),28.4,73.519.860.000,112.669.860.000,,284.0,73519860000.0,112669860000.0
014,014,014,Chứng quyền (Số lượng),,15.097.200,14.290.430,,,15097200.0,14290430.0
,,,B. TÀI SẢN VÀ CÁC KHOACIÓN PHÁI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỐI KHÁCH HÀNG,,,,,,,
021,021,021,Tài sản tài chính niêm yết/dăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của Nhà đầu tư,28.5,35.145.798.240.000,30.298.783.350.000,,285.0,35145798240000.0,30298783350000.0
021.1,021.1,021.1,Tài sản tài chính giao dịch tự do chuyển nhượng,,21.615.007.140.000,18.024.525.240.000,,,21615007140000.0,18024525240000.0
021.2,021.2,021.2,Tài sản tài chính hạn chế chuyển nhượng,,1.448.225.230.000,852.294.400.000,,,1448225230000.0,852294400000.0
021.3,021.3,021.3,Tài sản tài chính giao dịch cẩm cố,,8.275.871.640.000,7.816.888.050.000,,,8275871640000.0,7816888050000.0
021.4,021.4,021.4,"Tài sản tài chính phong tỏa, tạm giữ",,2.727.061.740.000,2.858.544.630.000,,,2727061740000.0,2858544630000.0
021.5,021.5,021.5,Tài sản tài chính chờ thanh toán,,1.079.632.490.000,746.531.030.000,,,1079632490000.0,746531030000.0
022,022,022,Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch của Nhà đầu tư,28.6,377.528.770.000,391.472.620.000,,286.0,377528770000.0,391472620000.0
022.1,022.1,022.1,"Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch, tự do chuyển nhượng",,12.765.570.000,21.772.550.000,,,12765570000.0,21772550000.0
022.2,022.2,022.2,"Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch, hạn chế chuyển nhượng",,364.763.200.000,369.700.070.000,,,364763200000.0,369700070000.0
023,023,023,Tài sản tài chính chờ về của Nhà đầu tư,28.7,1.084.901.280.000,675.618.050.000,,287.0,1084901280000.0,675618050000.0
024.b,024.b,024.b,Tài sản tài chính chưa lưu ký tại Trung tâm Lưu ký Chứng khoán của Nhà đầu tư,28.8,858.240.000,1.632.360.000,,288.0,858240000.0,1632360000.0
