row_label_raw,row_label_full,Các loại tài sảntài chính,31/12/2021 > Giá muaVND,31/12/2021 > Chênh lệch đánh giá > Chênh lệch tăngVND,31/12/2021 > Chênh lệch đánh giá > Chênh lệch giảmVND,31/12/2021 > Giá trị đánh giá lạiVND,numeric__31/12/2021 > Giá muaVND,numeric__31/12/2021 > Chênh lệch đánh giá > Chênh lệch tăngVND,numeric__31/12/2021 > Chênh lệch đánh giá > Chênh lệch giảmVND,numeric__31/12/2021 > Giá trị đánh giá lạiVND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,
Cổ phiếu niêmyết,FVTPL > Cổ phiếu niêmyết,Cổ phiếu niêmyết,92.501.168.787,3.253.840.587,(2.154.186.375),93.600.822.999,92501168787.0,3253840587.0,-2154186375.0,93600822999.0
Trải phiếu niêmyết,FVTPL > Trải phiếu niêmyết,Trải phiếu niêmyết,724.202.987.109,-,-,724.202.987.109,724202987109.0,,,724202987109.0
Trải phiếu chưaniêm yết,FVTPL > Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,197.592.000.000,-,-,197.592.000.000,197592000000.0,,,197592000000.0
Chứng chỉ tiềngửi,FVTPL > Chứng chỉ tiềngửi,Chứng chỉ tiềngửi,706.952.054.700,-,-,706.952.054.700,706952054700.0,,,706952054700.0
AFS,AFS,AFS,AFS,AFS,AFS,AFS,,,,
Cổ phiếu chuaniêm yết,AFS > Cổ phiếu chuaniêm yết,Cổ phiếu chuaniêm yết,114.949.857.502,157.600,(58.333.086.500),56.616.928.602,114949857502.0,157600.0,-58333086500.0,56616928602.0
Đầu tư khác,AFS > Đầu tư khác,Đầu tư khác,3.000.000.000,,(3.000.000.000),-,3000000000.0,,-3000000000.0,
Tổng cộng,AFS > Tổng cộng,Tổng cộng,1.839.198.068.098,3.253.998.187,(63.487.272.875),1.778.964.793.410,1839198068098.0,3253998187.0,-63487272875.0,1778964793410.0
