row_label_raw,row_label_full,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán VND,Giá trị hợp lý VND,Số dư chênh lệch đánh giá lại cuối năm VND,Số dư chênh lệch đánh giá lại đầu năm VND,Chênh lệch thuần điều chỉnh số kế toán trong năm VND,Chênh lệch tăng VND,Chênh lệch giảm VND,numeric__Giá trị mua theo số kế toán VND,numeric__Giá trị hợp lý VND,numeric__Số dư chênh lệch đánh giá lại cuối năm VND,numeric__Số dư chênh lệch đánh giá lại đầu năm VND,numeric__Chênh lệch thuần điều chỉnh số kế toán trong năm VND,numeric__Chênh lệch tăng VND,numeric__Chênh lệch giảm VND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,,,,
Cổ phiếu niêm yết,FVTPL > Cổ phiếu niêm yết,Cổ phiếu niêm yết,92.501.168.788,93.600.823.000,1.099.654.212,639.841.815,459.812.397,(4.016.450.602),4.476.262.999,92501168788.0,93600823000.0,1099654212.0,639841815.0,459812397.0,-4016450602.0,4476262999.0
VHM,FVTPL > VHM,VHM,20.105.439.280,19.920.424.000,(185.015.280),662.130,(185.677.410),(662.130),(185.015.280),20105439280.0,19920424000.0,-185015280.0,662130.0,-185677410.0,-662130.0,-185015280.0
HPG,FVTPL > HPG,HPG,1.949.239.140,1.800.876.800,(148.362.340),843.417.949,(991.780.289),(843.417.949),(148.362.340),1949239140.0,1800876800.0,-148362340.0,843417949.0,-991780289.0,-843417949.0,-148362340.0
VNM,FVTPL > VNM,VNM,5.909.189.653,5.753.030.400,(156.159.253),50.191.273,(206.350.526),(50.191.273),(156.159.253),5909189653.0,5753030400.0,-156159253.0,50191273.0,-206350526.0,-50191273.0,-156159253.0
FPT,FVTPL > FPT,FPT,13.876.192.149,13.703.550.000,(172.642.149),33.686.395,(206.328.544),(33.686.395),(172.642.149),13876192149.0,13703550000.0,-172642149.0,33686395.0,-206328544.0,-33686395.0,-172642149.0
KDH,FVTPL > KDH,KDH,26.358.345,32.232.000,5.873.655,24.906.852,(19.033.197),(19.033.197),-,26358345.0,32232000.0,5873655.0,24906852.0,-19033197.0,-19033197.0,
ACB,FVTPL > ACB,ACB,27.771.715.300,28.996.801.500,1.225.086.200,9.605.456,1.215.480.744,1.215.480.744,-,27771715300.0,28996801500.0,1225086200.0,9605456.0,1215480744.0,1215480744.0,
TCB,FVTPL > TCB,TCB,60.337.546,58.900.000,(1.437.546),3.873.333.571,(3.874.771.117),(3.873.333.571),(1.437.546),60337546.0,58900000.0,-1437546.0,3873333571.0,-3874771117.0,-3873333571.0,-1437546.0
SD3,FVTPL > SD3,SD3,793.436,825.600,32.164,(5.833.553.200),5.833.585.364,32.164,5.833.553.200,793436.0,825600.0,32164.0,-5833553200.0,5833585364.0,32164.0,5833553200.0
VRE,FVTPL > VRE,VRE,10.478.751,8.337.700,(2.141.051),278.941.917,(281.082.968),(278.941.917),(2.141.051),10478751.0,8337700.0,-2141051.0,278941917.0,-281082968.0,-278941917.0,-2141051.0
STB,FVTPL > STB,STB,94.820.243,105.745.500,10.925.257,53.052.716,(42.127.459),(42.127.459),-,94820243.0,105745500.0,10925257.0,53052716.0,-42127459.0,-42127459.0,
Cổ phiếu niêm yết khác,FVTPL > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,22.696.604.945,23.220.099.500,523.494.555,1.305.596.756,(782.102.201),(90.569.619),(691.532.582),22696604945.0,23220099500.0,523494555.0,1305596756.0,-782102201.0,-90569619.0,-691532582.0
Tổng cộng,FVTPL > Tổng cộng,Tổng cộng,92.501.168.788,93.600.823.000,1.099.654.212,639.841.815,459.812.397,(4.016.450.602),4.476.262.999,92501168788.0,93600823000.0,1099654212.0,639841815.0,459812397.0,-4016450602.0,4476262999.0
