row_label_raw,row_label_full,Các loại tài sản tài chính,31/12/2020 > Giá mua VND,31/12/2020 > Chênh lệch đánh giá > Chênh lệch tăng VND,31/12/2020 > Chênh lệch đánh giá > Chênh lệch giảm VND,31/12/2020 > Giá trị đánh giá lại VND,numeric__31/12/2020 > Giá mua VND,numeric__31/12/2020 > Chênh lệch đánh giá > Chênh lệch tăng VND,numeric__31/12/2020 > Chênh lệch đánh giá > Chênh lệch giảm VND,numeric__31/12/2020 > Giá trị đánh giá lại VND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,
Cổ phiếu niêm yết,FVTPL > Cổ phiếu niêm yết,Cổ phiếu niêm yết,124.215.792.649,7.270.291.189,(6.630.449.374),124.855.634.464,124215792649.0,7270291189.0,-6630449374.0,124855634464.0
Trái phiếu niêm yết,FVTPL > Trái phiếu niêm yết,Trái phiếu niêm yết,349.791.000.000,-,-,349.791.000.000,349791000000.0,,,349791000000.0
Trái phiếu chưa niêm yết,FVTPL > Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,688.187.286.189,-,-,688.187.286.189,688187286189.0,,,688187286189.0
AFS,AFS,AFS,AFS,AFS,AFS,AFS,,,,
Cổ phiếu chưa niêm yết,AFS > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,110.365.529.369,-,(56.055.729.445),54.309.799.924,110365529369.0,,-56055729445.0,54309799924.0
Đầu tư khác,AFS > Đầu tư khác,Đầu tư khác,3.000.000.000,-,(3.000.000.000),-,3000000000.0,,-3000000000.0,
Tổng cộng,AFS > Tổng cộng,Tổng cộng,1.275.559.608.207,7.270.291.189,(65.686.178.819),1.217.143.720.577,1275559608207.0,7270291189.0,-65686178819.0,1217143720577.0
