row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,31/12/2021 VND,31/12/2020 VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2021 VND,numeric__31/12/2020 VND
,,,B. TÀI SẢN VÀ CÁC KHOÀN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỐI KHÁCH HÀNG (tiếp theo),,,,,,,
026,026,026,Tiền gửi của khách hàng,,3.676.971.073.048,2.531.036.532.005,,,3676971073048.0,2531036532005.0
027,027,027,Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,28.9,3.624.388.650.402,2.516.821.135.267,,289.0,3624388650402.0,2516821135267.0
027.1,027.1,027.1,Trong đó: Tiền gửi ký quỹ của Nhà đầu tư tại VSD,,144.673.135.823,103.200.581.767,,,144673135823.0,103200581767.0
028,028,028,Tiền gửi tổng hợp giao dịch chứng khoán của khách hàng,28.9,25.495.811.279,5.023.102.737,,289.0,25495811279.0,5023102737.0
030,030,030,Tiền gửi của Tổ chức phát hành chứng khoán,28.10,27.086.611.367,9.192.294.001,,2810.0,27086611367.0,9192294001.0
031,031,031,Phải trả Nhà đầu tư về tiền gửi giao dịch chứng khoán theo phương thức CTCK quản lý,28.11,3.649.884.461.681,2.521.844.238.004,,2811.0,3649884461681.0,2521844238004.0
031.1,031.1,031.1,Phải trả Nhà đầu tư trong nước về tiền gửi giao dịch chứng khoán theo phương thức CTCK quản lý,,3.618.928.606.100,2.501.824.003.728,,,3618928606100.0,2501824003728.0
031.2,031.2,031.2,Phải trả Nhà đầu tư nước ngoài về tiền gửi giao dịch chứng khoán theo phương thức CTCK quản lý,,30.955.855.581,20.020.234.276,,,30955855581.0,20020234276.0
032,032,032,Phải trả Tổ chức phát hành chứng khoán,28.12,26.905.801.364,84.738.364,,2812.0,26905801364.0,84738364.0
035,035,035,"Phải trả cổ tức, gốc và lãi trái phiếu",28.13,180.810.003,9.107.555.637,,2813.0,180810003.0,9107555637.0
