row_label_raw,row_label_full,col_0,Phần mềm máy tính VND,numeric__Phần mềm máy tính VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 1 tháng 1 năm 2020,Nguyên giá > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,25.895.687.373,25895687373.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,7.311.413.898,7311413898.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(334.800.000),-334800000.0
Ngày 31 tháng 12 năm 2020,Nguyên giá > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,32.872.301.271,32872301271.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Ngày 1 tháng 1 năm 2020,Hao mòn lũy kế > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,9.205.708.695,9205708695.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,6.122.084.374,6122084374.0
Ngày 31 tháng 12 năm 2020,Hao mòn lũy kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,15.327.793.069,15327793069.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Ngày 1 tháng 1 năm 2020,Giá trị còn lại > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,16.689.978.678,16689978678.0
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,17.544.508.202,17544508202.0
