row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Hoạt động khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Ngân hàng đầu tư VND,numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,,,,,
1. Doanh thu hoạt động,Ngày 31 tháng 12 năm 2021 > 1. Doanh thu hoạt động,1. Doanh thu hoạt động,1.595.872.138.436,440.804.318.030,103.090.105.070,105.281.289.643,2.245.047.851.179,1595872138436.0,440804318030.0,103090105070.0,105281289643.0,2245047851179.0
2. Các chi phí trực tiếp,Ngày 31 tháng 12 năm 2021 > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,(667.798.578.787),(229.633.261.529),(41.856.525.454),(1.450.559.137),(940.738.924.907),-667798578787.0,-229633261529.0,-41856525454.0,-1450559137.0,-940738924907.0
3. Khấu hao và các chi phí phân bổ,Ngày 31 tháng 12 năm 2021 > 3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,(403.781.479.328),(111.530.626.634),(26.083.465.039),(26.637.870.199),(568.033.441.200),-403781479328.0,-111530626634.0,-26083465039.0,-26637870199.0,-568033441200.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Ngày 31 tháng 12 năm 2021 > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,524.292.080.321,99.640.429.867,35.150.114.577,77.192.860.307,736.275.485.072,524292080321.0,99640429867.0,35150114577.0,77192860307.0,736275485072.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,,,,
1. Tài sản bộ phận (*),Số dư cuối năm > 1. Tài sản bộ phận (*),1. Tài sản bộ phận (*),7.191.835.124.097,3.545.325.040.126,-,18.220.373.768,10.755.380.537.991,7191835124097.0,3545325040126.0,,18220373768.0,10755380537991.0
2. Tài sản phân bổ (*),Số dư cuối năm > 2. Tài sản phân bổ (*),2. Tài sản phân bổ (*),269.055.957.741,74.317.374.874,17.380.469.453,17.749.892.071,378.503.694.139,269055957741.0,74317374874.0,17380469453.0,17749892071.0,378503694139.0
Tổng tài sản,Số dư cuối năm > Tổng tài sản,Tổng tài sản,7.460.891.081.838,3.619.642.415.000,17.380.469.453,35.970.265.839,1.133.884.232.130,7460891081838.0,3619642415000.0,17380469453.0,35970265839.0,1133884232130.0
3. Nợ phải trả bộ phận,Số dư cuối năm > 3. Nợ phải trả bộ phận,3. Nợ phải trả bộ phận,23.690.962.421,30.999.156.768,-,-,54.690.119.189,23690962421.0,30999156768.0,,,54690119189.0
4. Nợ phân bổ,Số dư cuối năm > 4. Nợ phân bổ,4. Nợ phân bổ,5.388.860.453.462,1.488.485.762.697,348.109.461.263,355.508.542.685,7.580.964.220.107,5388860453462.0,1488485762697.0,348109461263.0,355508542685.0,7580964220107.0
Tổng công nợ,Số dư cuối năm > Tổng công nợ,Tổng công nợ,5.412.551.415.883,1.519.484.919.465,348.109.461.263,355.508.542.685,7.635.654.339.296,5412551415883.0,1519484919465.0,348109461263.0,355508542685.0,7635654339296.0
