row_label_raw,row_label_full,Năm phát hành > 2018 > 2019 > 2021,Lô > Lô 1 > Lô 2 > Lô 1 > Lô 2 > Lô 3 > Lô 4 > Lô 1 > Lô 2 > Lô 3,"Lãi suất năm > 8,300% > 8,225% > 7,125% > 7,225% > 7,6% > 7,35% > 7,5000% > 7,2000% > 7,3000%",Năm đáo hạn > 2021 > 2022 > 2023,31/12/2021 VND > - > 15.000.000.000 > 10.000.000.000 > - > 520.000.000.000 > 200.000.000.000 > 90.000.000.000,31/12/2020 VND > 7.000.000.000 > 9.000.000.000 > - > 82.000.000.000 > 81.000.000.000 > -,numeric__Lô > Lô 1 > Lô 2 > Lô 1 > Lô 2 > Lô 3 > Lô 4 > Lô 1 > Lô 2 > Lô 3,"numeric__Lãi suất năm > 8,300% > 8,225% > 7,125% > 7,225% > 7,6% > 7,35% > 7,5000% > 7,2000% > 7,3000%",numeric__Năm đáo hạn > 2021 > 2022 > 2023,numeric__31/12/2021 VND > - > 15.000.000.000 > 10.000.000.000 > - > 520.000.000.000 > 200.000.000.000 > 90.000.000.000,numeric__31/12/2020 VND > 7.000.000.000 > 9.000.000.000 > - > 82.000.000.000 > 81.000.000.000 > -
Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,(18.605.254),(808.024.736),,,,-18605254.0,-808024736.0
Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,834.981.394.746,178.191.975.264,,,,834981394746.0,178191975264.0
