row_label_raw,row_label_full,col_0,31/12/2021 > Số lượng,31/12/2021 > Giá gốcVND,31/12/2021 > Giá trị ghi sởVND,31/12/2021 > Giá trị dự phòngVND,31/12/2020 > Giá trị dự phòngVND,(Trích lập)/Hoànnhập trong nămVND,numeric__31/12/2021 > Số lượng,numeric__31/12/2021 > Giá gốcVND,numeric__31/12/2021 > Giá trị ghi sởVND,numeric__31/12/2021 > Giá trị dự phòngVND,numeric__31/12/2020 > Giá trị dự phòngVND,numeric__(Trích lập)/Hoànnhập trong nămVND
Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,,,,,,
CTCP Cảng Tân CảngHiệp Phước,Tài sản tài chính AFS > CTCP Cảng Tân CảngHiệp Phước,CTCP Cảng Tân CảngHiệp Phước,1.710.000,46.768.500.000,17.100.000.000,(29.668.500.000),(24.538.500.000),(5.130.000.000),1710000.0,46768500000.0,17100000000.0,-29668500000.0,-24538500000.0,-5130000000.0
CTCP Chế biến Thủysản Út Xi,Tài sản tài chính AFS > CTCP Chế biến Thủysản Út Xi,CTCP Chế biến Thủysản Út Xi,894.705,26.214.856.500,3.578.820.000,(22.636.036.500),(19.057.216.500),(3.578.820.000),894705.0,26214856500.0,3578820000.0,-22636036500.0,-19057216500.0,-3578820000.0
CTCP công nghiệp caosu COECCO,Tài sản tài chính AFS > CTCP công nghiệp caosu COECCO,CTCP công nghiệp caosu COECCO,492.000,7.380.000.000,2.952.000.000,(4.428.000.000),(2.460.000.000),(1.968.000.000),492000.0,7380000000.0,2952000000.0,-4428000000.0,-2460000000.0,-1968000000.0
TCT Công nghệ Nănglượng Dầu khí Việt Nam,Tài sản tài chính AFS > TCT Công nghệ Nănglượng Dầu khí Việt Nam,TCT Công nghệ Nănglượng Dầu khí Việt Nam,2.500.000,30.000.000.000,8.750.000.000,(21.250.000.000),(10.000.000.000),(11.250.000.000),2500000.0,30000000000.0,8750000000.0,-21250000000.0,-10000000000.0,-11250000000.0
Công ty Cổ phần VietLotus,Tài sản tài chính AFS > Công ty Cổ phần VietLotus,Công ty Cổ phần VietLotus,457.300,4.573.000.000,2.972.450.000,(1.600.550.000),-,(1.600.550.000),457300.0,4573000000.0,2972450000.0,-1600550000.0,,-1600550000.0
Cổ phiếu chưa niêm yếtkhác,Tài sản tài chính AFS > Cổ phiếu chưa niêm yếtkhác,Cổ phiếu chưa niêm yếtkhác,300.553,3.013.501.002,13.501.002,(3.000.000.000),(3.000.012.945),12.945,300553.0,3013501002.0,13501002.0,-3000000000.0,-3000012945.0,12945.0
Tổng cộng,Tài sản tài chính AFS > Tổng cộng,Tổng cộng,6.354.558,117.949.857.502,35.366.771.002,(82.583.086.500),(59.055.729.445),(23.527.357.055),6354558.0,117949857502.0,35366771002.0,-82583086500.0,-59055729445.0,-23527357055.0
