row_label_raw,row_label_full,col_0,2022 > Tỷ lệ sở hữu %,2022 > Giá gốc VND,2022 > Giá trị hợp lý VND,2022 > Dự phòng VND,2021 > Tỷ lệ sở hữu %,2021 > Giá gốc VND,2021 > Giá trị hợp lý VND,2021 > Dự phòng VND,numeric__2022 > Tỷ lệ sở hữu %,numeric__2022 > Giá gốc VND,numeric__2022 > Giá trị hợp lý VND,numeric__2022 > Dự phòng VND,numeric__2021 > Tỷ lệ sở hữu %,numeric__2021 > Giá gốc VND,numeric__2021 > Giá trị hợp lý VND,numeric__2021 > Dự phòng VND
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn (ii),Công ty Cổ phần Phục vụ Mặt đất Sài Gòn (ii),Công ty Cổ phần Phục vụ Mặt đất Sài Gòn (ii),"9,1",149.417.024.400,191.913.539.400,-,"9,1",149.417.024.400,217.012.279.800,-,9.1,149417024400.0,191913539400.0,,9.1,149417024400.0,217012279800.0,
Angelica Holding Limited (iii),Angelica Holding Limited (iii),Angelica Holding Limited (iii),10,-,-,-,10,-,-,-,10.0,,,,10.0,,,
,,,,149.417.024.400,191.913.539.400,-,,149.417.024.400,217.012.279.800,-,,149417024400.0,191913539400.0,,,149417024400.0,217012279800.0,
