row_label_raw,row_label_full,col_0,2022 > Giá trị VND,2022 > Dự phòng VND,2021 > Giá trị VND,2021 > Dự phòng VND,numeric__2022 > Giá trị VND,numeric__2022 > Dự phòng VND,numeric__2021 > Giá trị VND,numeric__2021 > Dự phòng VND
Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,,,,,
Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Bên thứ ba > Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,9.261.664.412.149,-,7.095.851.249.114,-,9261664412149.0,,7095851249114.0,
Đặt cọc mua tàu bay nhận sau 12 tháng tiếp theo (iii),Bên thứ ba > Đặt cọc mua tàu bay nhận sau 12 tháng tiếp theo (iii),Đặt cọc mua tàu bay nhận sau 12 tháng tiếp theo (iii),3.248.651.248.296,-,5.149.203.195.069,-,3248651248296.0,,5149203195069.0,
Phải thu từ chuyển nhượng cổ phần (ii),Bên thứ ba > Phải thu từ chuyển nhượng cổ phần (ii),Phải thu từ chuyển nhượng cổ phần (ii),666.000.000.000,-,-,-,666000000000.0,,,
Đặt cọc thuê tàu bay,Bên thứ ba > Đặt cọc thuê tàu bay,Đặt cọc thuê tàu bay,1.385.265.877.334,-,1.272.927.219.320,-,1385265877334.0,,1272927219320.0,
Đặt cọc dịch vụ mặt đất,Bên thứ ba > Đặt cọc dịch vụ mặt đất,Đặt cọc dịch vụ mặt đất,149.392.198.866,-,124.722.383.225,-,149392198866.0,,124722383225.0,
Khác,Bên thứ ba > Khác,Khác,95.866.770.453,-,36.987.670.484,-,95866770453.0,,36987670484.0,
,,,14.806.840.507.098,-,13.679.691.717.212,-,14806840507098.0,,13679691717212.0,
Bên liên quan(Thuyết minh 39(b)),Bên thứ ba > Bên liên quan(Thuyết minh 39(b)),Bên liên quan(Thuyết minh 39(b)),567.128.239.684,-,2.419.946.988.043,-,567128239684.0,,2419946988043.0,
,,,15.373.968.746.782,-,16.099.638.705.255,-,15373968746782.0,,16099638705255.0,
