row_label_raw,row_label_full,col_0,Tàu bay và động cơ tàu bay VND,"Nhà cửa, vật kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Tàu bay và động cơ tàu bay VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,896.813.994.227,387.463.400.057,101.519.334.255,70.323.378.062,55.068.879.275,1.511.188.985.876,896813994227.0,387463400057.0,101519334255.0,70323378062.0,55068879275.0,1511188985876.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.559.748.057.333,21.090.214.441,14.711.160.547,7.679.346.300,5.319.251.075,4.608.548.029.696,4559748057333.0,21090214441.0,14711160547.0,7679346300.0,5319251075.0,4608548029696.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,,-,(6.048.688.568),(155.481.252),(6.204.169.820),,,,-6048688568.0,-155481252.0,-6204169820.0
Khác,Nguyên giá > Khác,Khác,-,,3.058.330.526,(497.138.011),(2.561.192.515),-,,,3058330526.0,-497138011.0,-2561192515.0,
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,5.456.562.051.560,408.553.614.498,119.288.825.328,71.456.897.783,57.671.456.583,6.113.532.845.752,5456562051560.0,408553614498.0,119288825328.0,71456897783.0,57671456583.0,6113532845752.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,249.823.689.576,18.172.790.992,42.437.409.523,27.189.790.354,23.210.909.120,360.834.589.565,249823689576.0,18172790992.0,42437409523.0,27189790354.0,23210909120.0,360834589565.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,44.632.670.799,8.215.990.955,12.508.997.259,7.611.460.707,4.282.045.437,77.251.165.157,44632670799.0,8215990955.0,12508997259.0,7611460707.0,4282045437.0,77251165157.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,-,-,(5.792.595.448),(94.017.718),(5.886.613.166),,,,-5792595448.0,-94017718.0,-5886613166.0
Khác,Khấu hao lũy kế > Khác,Khác,-,(347.383.333),(3.573.641.070),(614.378.476),4.535.402.879,-,,-347383333.0,-3573641070.0,-614378476.0,4535402879.0,
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,294.456.360.375,26.041.398.614,51.372.765.712,28.394.277.137,31.934.339.718,432.199.141.556,294456360375.0,26041398614.0,51372765712.0,28394277137.0,31934339718.0,432199141556.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,646.990.304.651,369.290.609.065,59.081.924.732,43.133.587.708,31.857.970.155,1.150.354.396.311,646990304651.0,369290609065.0,59081924732.0,43133587708.0,31857970155.0,1150354396311.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,5.162.105.691.185,382.512.215.884,67.916.059.616,43.062.620.646,25.737.116.865,5.681.333.704.196,5162105691185.0,382512215884.0,67916059616.0,43062620646.0,25737116865.0,5681333704196.0
