row_label_raw,row_label_full,col_0,Chi phí bảo dưỡngtàu bayVND,Chi phí hoàn trattài sản thuêVND,Chi phí kiểm trava sửa chữa lớnVND,"Phụ từng xoayvòng, công cụ vàdụng cụVND",KhácVND,Tổng cộngVND,numeric__Chi phí bảo dưỡngtàu bayVND,numeric__Chi phí hoàn trattài sản thuêVND,numeric__Chi phí kiểm trava sửa chữa lớnVND,"numeric__Phụ từng xoayvòng, công cụ vàdụng cụVND",numeric__KhácVND,numeric__Tổng cộngVND
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,5.065.554.996.522,632.155.195.498,174.818.646.585,182.890.430.569,33.635.365.276,6.089.054.634.450,5065554996522.0,632155195498.0,174818646585.0,182890430569.0,33635365276.0,6089054634450.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,692.655.542.194,77.371.593.378,557.885.544.084,70.321.938.834,17.168.107.527,1.415.402.726.017,692655542194.0,77371593378.0,557885544084.0,70321938834.0,17168107527.0,1415402726017.0
Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,-,-,-,242.667.349.245,-,242.667.349.245,,,,242667349245.0,,242667349245.0
Kết chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Kết chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Kết chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),-,-,-,-,225.385.696.812,225.385.696.812,,,,,225385696812.0,225385696812.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(654.143.517.148),(92.016.962.579),(237.360.550.237),(228.672.304.105),(31.476.045.524),(1.243.669.379.593),-654143517148.0,-92016962579.0,-237360550237.0,-228672304105.0,-31476045524.0,-1243669379593.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,(80.305.930.668),(9.345.903.498),-,-,-,(89.651.834.166),-80305930668.0,-9345903498.0,,,,-89651834166.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,5.023.761.090.900,608.163.922.799,495.343.640.432,267.207.414.543,244.713.124.091,6.639.189.192.765,5023761090900.0,608163922799.0,495343640432.0,267207414543.0,244713124091.0,6639189192765.0
