row_label_raw,row_label_full,col_0,col_1,2022VND,2021VND,numeric__col_1,numeric__2022VND,numeric__2021VND
vii),vii),vii),Hoạt động tài chính,,,,,
,,,Thu nhập về tiền lãi,,,,,
,,,Ngân hàng HDBank,12.700.149.431,17.178.157.424,,12700149431.0,17178157424.0
,,,Công ty liên kết,231.861.202.013,190.410.491.676,,231861202013.0,190410491676.0
,,,Bên liên quan khác,59.292.000.000,44.788.482.432,,59292000000.0,44788482432.0
,,,,303.853.351.444,252.377.131.532,,303853351444.0,252377131532.0
,,,Chi phí lãi vay,,,,,
,,,Ngân hàng HDBank,105.638.061.951,68.494.378.852,,105638061951.0,68494378852.0
,,,Bên liên quan khác,25.859.589.042,156.855.342.466,,25859589042.0,156855342466.0
,,,,131.497.650.993,225.349.721.318,,131497650993.0,225349721318.0
,,,Đi vay,,,,,
,,,Ngân hàng HDBank,8.037.406.959.482,2.710.411.814.342,,8037406959482.0,2710411814342.0
,,,Bên liên quan khác,45.000.000.000,-,,45000000000.0,
,,,,8.082.406.959.482,2.710.411.814.342,,8082406959482.0,2710411814342.0
,,,Trả nợ gốc vay,,,,,
,,,Ngân hàng HDBank,7.434.985.662.395,2.239.034.992.601,,7434985662395.0,2239034992601.0
,,,Bên liên quan khác,700.000.000.000,-,,700000000000.0,
,,,,8.134.985.662.395,2.239.034.992.601,,8134985662395.0,2239034992601.0
,,,Tiền gửi có kỳ hạn và chứng từ tiền gửi với Ngân hàng HDBank,,,,,
,,,Tiền gửi,2.193.304.077.000,4.060.000.000.000,,2193304077000.0,4060000000000.0
,,,Thu hồi tiền gửi,(2.345.004.077.000),(5.135.000.000.000),,-2345004077000.0,-5135000000000.0
