row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2022 VND,Tại ngày 31 tháng 12 năm > 2021 VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2022 VND,numeric__Tại ngày 31 tháng 12 năm > 2021 VND
100,100,100,TÀI SẢN NGẮN HẠN,,33.587.472.621.916,26.866.732.678.773,,,33587472621916.0,26866732678773.0
110,110,110,Tiền và các khoản tương đương tiền,3,1.858.261.735.520,1.868.252.946.557,,3.0,1858261735520.0,1868252946557.0
111,111,111,Tiền,,895.285.954.496,983.304.817.181,,,895285954496.0,983304817181.0
112,112,112,Các khoản tương đương tiền,,962.975.781.024,884.948.129.376,,,962975781024.0,884948129376.0
120,120,120,Đầu tư tài chính ngắn hạn,,687.775.421.096,859.475.421.096,,,687775421096.0,859475421096.0
121,121,121,Chứng khoán kinh doanh,4(a),990.000.000.000,990.000.000.000,,,990000000000.0,990000000000.0
122,122,122,Dự phòng giảm giá chứng khoán kinh doanh,4(a),(490.000.000.000),(135.000.000.000),,,-490000000000.0,-135000000000.0
123,123,123,Đầu tư nắm giữ đến ngày đáo hạn,4(b),187.775.421.096,4.475.421.096,,,187775421096.0,4475421096.0
130,130,130,Các khoản phải thu ngắn hạn,,29.729.804.064.103,23.261.094.436.070,,,29729804064103.0,23261094436070.0
131,131,131,Phải thu ngắn hạn của khách hàng,5(a),12.402.309.894.689,11.452.445.071.396,,,12402309894689.0,11452445071396.0
132,132,132,Trả trước cho người bán ngắn hạn,6(a),1.626.225.517.323,100.108.467.605,,,1626225517323.0,100108467605.0
135,135,135,Phải thu về cho vay ngắn hạn,7(a),657.000.000.000,657.000.000.000,,,657000000000.0,657000000000.0
136,136,136,Phải thu ngắn hạn khác,8(a),15.044.268.652.091,11.051.540.897.069,,,15044268652091.0,11051540897069.0
140,140,140,Hàng tồn kho,,982.716.071.675,811.247.030.655,,,982716071675.0,811247030655.0
141,141,141,Hàng tồn kho,9,982.716.071.675,811.247.030.655,,9.0,982716071675.0,811247030655.0
150,150,150,Tài sản ngắn hạn khác,,328.915.329.522,66.662.844.395,,,328915329522.0,66662844395.0
151,151,151,Chi phí trả trước ngắn hạn,10(a),164.682.034.869,16.306.514.272,,,164682034869.0,16306514272.0
152,152,152,"Thuế giá trị gia tăng (""GTGT"") được khấu trừ",15(a),139.358.572.943,50.356.330.123,,,139358572943.0,50356330123.0
153,153,153,Thuế và các khoản khác phải thu Nhà nước,15(a),24.874.721.710,-,,,24874721710.0,
