row_label_raw,row_label_full,col_0,2022 > Giá trị VND,2022 > Dự phòng VND,2021 > Giá trị VND,2021 > Dự phòng VND,numeric__2022 > Giá trị VND,numeric__2022 > Dự phòng VND,numeric__2021 > Giá trị VND,numeric__2021 > Dự phòng VND
Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,,,,,
Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Bên thứ ba > Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,1.485.171.706.801,-,1.824.881.774.817,-,1485171706801.0,,1824881774817.0,
Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo (i),Bên thứ ba > Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo (i),Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo (i),1.807.805.631.328,-,1.585.033.816.020,-,1807805631328.0,,1585033816020.0,
Phải thu từ chuyển nhượng cổ phần (ii),Bên thứ ba > Phải thu từ chuyển nhượng cổ phần (ii),Phải thu từ chuyển nhượng cổ phần (ii),1.554.000.000.000,-,-,-,1554000000000.0,,,
Phải thu từ quỹ bảo dưỡng tàu bay thuê,Bên thứ ba > Phải thu từ quỹ bảo dưỡng tàu bay thuê,Phải thu từ quỹ bảo dưỡng tàu bay thuê,442.633.214.126,-,592.857.173.965,-,442633214126.0,,592857173965.0,
Khoản chiết khấu từ nhà cung cấp,Bên thứ ba > Khoản chiết khấu từ nhà cung cấp,Khoản chiết khấu từ nhà cung cấp,105.591.795.895,-,660.820.286.965,-,105591795895.0,,660820286965.0,
Khác,Bên thứ ba > Khác,Khác,884.783.640.594,-,1.112.554.327.394,-,884783640594.0,,1112554327394.0,
,,,6.279.985.988.744,-,5.776.147.379.161,-,6279985988744.0,,5776147379161.0,
Bên liên quan(Thuyết minh 39(b)),Bên thứ ba > Bên liên quan(Thuyết minh 39(b)),Bên liên quan(Thuyết minh 39(b)),8.764.282.663.347,-,5.275.393.517.908,-,8764282663347.0,,5275393517908.0,
,,,15.044.268.652.091,-,11.051.540.897.069,-,15044268652091.0,,11051540897069.0,
