row_label_raw,row_label_full,col_0,Phần mềm VND,numeric__Phần mềm VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,39.171.240.479,39171240479.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,22.144.823.998,22144823998.0
Kết chuyển từ chi phí xây dựng cơ bản mới hoàn thành(Thuyết minh 12),Nguyên giá > Kết chuyển từ chi phí xây dựng cơ bản mới hoàn thành(Thuyết minh 12),Kết chuyển từ chi phí xây dựng cơ bản mới hoàn thành(Thuyết minh 12),625.912.381,625912381.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,61.941.976.858,61941976858.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,31.073.686.907,31073686907.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.482.497.899,2482497899.0
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,33.556.184.806,33556184806.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,8.097.553.572,8097553572.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,28.385.792.052,28385792052.0
